ID,Title,Bids,Days Left to pid,Price,Type,Skills,Link
121,Need a wordpress website with some custom functionality Low Budget Project (Little Complex) Fixed Budget : ₹5000 only Deadline : Open,34 bids,6 days left,$46 (Avg Bid),Fixed,"Graphic Design, HTML, PHP, Website Design, WordPress",https://www.freelancer.com/projects/php/need-wordpress-website-with-some-39357691
122,WordPress Elementor Template Replication,108 bids,6 days left,$28 (Avg Bid),Fixed,"CSS, HTML, Webflow, Website Design, WordPress",https://www.freelancer.com/projects/wordpress/wordpress-elementor-template-replication
123,Cardboard Countertop Display Design -- 2,2 bids,6 days left,$9 (Avg Bid),Fixed,"3D Rendering, AutoCAD, Brochure Design, Graphic Design",https://www.freelancer.com/projects/graphic-design/cardboard-countertop-display-design
124,Etsy Digital products Specialist needed,5 bids,6 days left,$12 (Avg Bid),Fixed,"Etsy, Marketing, Product Research, Sales, SEO",https://www.freelancer.com/projects/seo/etsy-digital-products-specialist-needed
125,Humorous Cartoon Promo Animation,3 bids,6 days left,$17 (Avg Bid),Fixed,"3D Animation, After Effects, Animation, Caricature & Cartoons, Video Services",https://www.freelancer.com/projects/animation/humorous-cartoon-promo-animation
126,Cartoonish Seabees T-shirt Design,131 bids,6 days left,$81 (Avg Bid),Fixed,"Graphic Design, Illustrator, Logo Design, Photoshop, T-Shirts",https://www.freelancer.com/projects/graphic-design/cartoonish-seabees-shirt-design
127,Modern Vibrant Logo Design,22 bids,6 days left,$15 (Avg Bid),Fixed,"Graphic Design, Icon Design, Illustrator, Logo Design, Photoshop",https://www.freelancer.com/projects/logo-design/modern-vibrant-logo-design-39357678
128,Outdoor Photography Session,16 bids,6 days left,$52 (Avg Bid),Fixed,"Photo Editing, Photo Restoration, Photo Retouching, Photography, Videography",https://www.freelancer.com/projects/photography/outdoor-photography-session
129,Develop Python Script to Extract Line-by-Line Data from PDF Trial Balances and Output JSON,40 bids,6 days left,$23 (Avg Bid),Fixed,"Excel, JavaScript, PHP, Python, Software Architecture",https://www.freelancer.com/projects/python/develop-python-script-extract-line
130,"Deploy and manage 1,000 concurrent automated sessions running identical logic/scripts",2 bids,6 days left,$39 (Avg Bid),Fixed,"Docker, Docker Compose, Kubernetes, Web Hosting, Website Management",https://www.freelancer.com/projects/docker-compose/deploy-manage-concurrent-automated
131,Trendy Instagram Reels Editor,18 bids,6 days left,$18 (Avg Bid),Fixed,"After Effects, Video Editing, Video Production, Video Services, Videography",https://www.freelancer.com/projects/video-editing/trendy-instagram-reels-editor
132,Engaging Instagram Reel Editor,24 bids,6 days left,$19 (Avg Bid),Fixed,"After Effects, Video Editing, Video Production, Video Services, Videography",https://www.freelancer.com/projects/video-editing/engaging-instagram-reel-editor
133,Digital Flip Book Brochure Design,28 bids,6 days left,$71 (Avg Bid),Fixed,"Adobe InDesign, Brochure Design, Flyer Design, Graphic Design, Website Design",https://www.freelancer.com/projects/graphic-design/digital-flip-book-brochure-design
134,Innovative Linen Shirt Designs,22 bids,6 days left,$67 (Avg Bid),Fixed,"Fashion Design, Graphic Design, Logo Design, T-Shirts",https://www.freelancer.com/projects/graphic-design/innovative-linen-shirt-designs
135,Laravel fixing urgent ! NO Pakistani dev Pls,59 bids,6 days left,$13 (Avg Bid),Fixed,"Graphic Design, HTML, Laravel, PHP, Website Design",https://www.freelancer.com/projects/php/laravel-fixing-urgent-pakistani-dev
136,Chimp Gym AI Video,12 bids,6 days left,$12 (Avg Bid),Fixed,"After Effects, Animation, GenAI, Graphic Design, Video Services",https://www.freelancer.com/projects/animation/chimp-gym-video
137,Private project or contest #39306140,fff,6 days left,fff,fff,"Android, iPhone, Mobile App Development, PHP, Website Design","https://www.freelancer.com/login?goto=YTg3YWZkNjM1Y2Y0MjkwNGE5ZDg3Mzk5MDc4ZTM1YzRodHRwczovL3d3dy5mcmVlbGFuY2VyLmNvbS9wcm9qZWN0cy9hbmRyb2lkL21pY3Jvc3RvY2stYWdlbmN5LXdpdGgtbW9iaWxlLWFwcA,,"
138,Audio Logo Creation,24 bids,6 days left,$53 (Avg Bid),Fixed,"Audio Production, Audio Services, Music, Sound Design",https://www.freelancer.com/projects/music/audio-logo-creation
139,BENGALI CapCut Video Editing Tutor,24 bids,6 days left,$24 (Avg Bid),Fixed,"Editing, Video Editing, Video Production, Video Services, Videography",https://www.freelancer.com/projects/video-editing/capcut-video-editing-tutor
140,SEO Specialist for Emaillistclean.com,24 bids,6 days left,$33 (Avg Bid),Fixed,"Internet Marketing, Link Building, Marketing, Search Engine Marketing, SEO",https://www.freelancer.com/projects/seo/seo-specialist-for-emaillistclean-com
141,Classic Cool-toned Tissue Paper Design,9 bids,6 days left,$16 (Avg Bid),Fixed,"Brochure Design, Corporate Identity, Covers & Packaging, Graphic Design, Product Design",https://www.freelancer.com/projects/graphic-design/classic-cool-toned-tissue-paper
142,Only Delhi Based 30-Day Event Data Entry Staff -- 2,5 bids,6 days left,$12 (Avg Bid),Fixed,"Data Entry, Data Processing, Excel, Virtual Assistant, Web Search",https://www.freelancer.com/projects/excel/only-delhi-based-day-event
143,Make Automation Fix for WooCommerce and Wave,106 bids,6 days left,$93 (Avg Bid),Fixed,"Make.com, PHP, Wave Accounting, WooCommerce, WordPress",https://www.freelancer.com/projects/php/make-automation-fix-for-woocommerce
144,Virtual AI Assistant Development -- 2,8 bids,6 days left,$26 (Avg Bid),Fixed,"AI Chatbot Development, Coding, Java",https://www.freelancer.com/projects/java/virtual-assistant-development
145,Technical Report on the Workload Leveling Problem (WLP) using LaTeX,23 bids,6 days left,$30 (Avg Bid),Fixed,"Algorithm, Data Analytics, Excel, LaTeX, Technical Writing",https://www.freelancer.com/projects/latex/technical-report-the-workload-leveling
146,Integrate Go Library with C# .NET 4.8,10 bids,6 days left,$98 (Avg Bid),Fixed,".NET, C Programming, C# Programming, Golang, Python",https://www.freelancer.com/projects/c-sharp-programming/integrate-library-with-net
147,Technical Flat Sketches on Illustrator,98 bids,6 days left,$94 (Avg Bid),Fixed,"Fashion Design, Graphic Design, Illustration, Illustrator, Logo Design",https://www.freelancer.com/projects/illustrator/technical-flat-sketches-illustrator
148,Modern Startup Logo Design,101 bids,6 days left,$27 (Avg Bid),Fixed,"Graphic Design, Illustration, Illustrator, Logo Design, Photoshop",https://www.freelancer.com/projects/logo-design/modern-startup-logo-design-39357516
149,Get 10k followers on tiktok,20 bids,6 days left,$30 (Avg Bid),Fixed,"Facebook Marketing, Internet Marketing, Social Media Marketing, Social Networking, Twitter",https://www.freelancer.com/projects/social-media-marketing/get-followers-tiktok-39357495
150,Get 10k followers on tiktok -- 2,16 bids,6 days left,$29 (Avg Bid),Fixed,"Facebook Marketing, Internet Marketing, Social Media Marketing, Social Networking, TikTok",https://www.freelancer.com/projects/internet-marketing/get-followers-tiktok
151,Event Data Entry Team Needed,16 bids,6 days left,$11 (Avg Bid),Fixed,"Data Entry, Data Processing, Excel, Virtual Assistant, Web Search",https://www.freelancer.com/projects/data-entry/event-data-entry-team-needed
152,Animated Product Promo Reels,37 bids,6 days left,$20 (Avg Bid),Fixed,"Advertisement Design, Advertising, Animation, Graphic Design, Video Services",https://www.freelancer.com/projects/animation/animated-product-promo-reels
153,SETTING BIG COMMERCE WEBSITE,58 bids,6 days left,$32 (Avg Bid),Fixed,"BigCommerce, eCommerce, HTML, PHP, Website Design",https://www.freelancer.com/projects/website-design/setting-big-commerce-website
154,Private project or contest #39357464,fff,6 days left,fff,fff,"Metatrader, MQL4, MQL5","https://www.freelancer.com/login?goto=MDZjMTE0NGZlOTkzNTMyNTYwM2ViMjY0MDkxZmQzZThodHRwczovL3d3dy5mcmVlbGFuY2VyLmNvbS9wcm9qZWN0cy9tZXRhdHJhZGVyL2NvbnZlcnNpb24tMzkzNTc0NjQ,"
155,MS Access Performance Enhance & French Localization,19 bids,6 days left,$43 (Avg Bid),Fixed,"Data Entry, Database Programming, Microsoft Access, SQL",https://www.freelancer.com/projects/microsoft-access/access-performance-enhance-french
156,Domain Sales Broker Needed,0 bids,6 days left,$7 - $18,Fixed,"Advertising, Leads, Marketing, Sales, SEO",https://www.freelancer.com/projects/advertising/domain-sales-broker-needed
157,Arabic Graduation Song Creation,15 bids,6 days left,$90 (Avg Bid),Fixed,"Arabic Translator, Audio Production, Audio Services, Music, Sound Design",https://www.freelancer.com/projects/music/arabic-graduation-song-creation
158,3d product designer required,9 bids,6 days left,$16 (Avg Bid),Fixed,"3D Design, Electronics, Manufacturing Design, Mechanical Engineering, Product Design",https://www.freelancer.com/projects/electronics/product-designer-required
159,Realistic 3D Animation on Pahalgam Attack,6 bids,6 days left,$12 (Avg Bid),Fixed,"3D Animation, 3D Modelling, After Effects, Animation, Video Services",https://www.freelancer.com/projects/animation/realistic-animation-pahalgam-attack
160,Modern STEM-Themed Logo Design,90 bids,6 days left,$27 (Avg Bid),Fixed,"Graphic Design, Illustration, Illustrator, Logo Design, Photoshop",https://www.freelancer.com/projects/logo-design/modern-stem-themed-logo-design
161,Modern Logo Design for New Brand,113 bids,6 days left,$27 (Avg Bid),Fixed,"Graphic Design, Illustration, Illustrator, Logo Design, Photoshop",https://www.freelancer.com/projects/logo-design/modern-logo-design-for-new-39357411
162,UGC Awareness Reel Creation,9 bids,6 days left,$7 (Avg Bid),Fixed,"Content Writing, Copywriting, Creative Writing, Ghostwriting",https://www.freelancer.com/projects/copywriting/ugc-awareness-reel-creation
163,Residential Unit Floor Plan in Chennai,6 bids,15 hours left,$18 - $147,Fixed,"3D Rendering, AutoCAD, Building Architecture, Home Design, Interior Design",https://www.freelancer.com/projects/rendering/residential-unit-floor-plan-chennai
164,Playful School Website Development,38 bids,6 days left,$90 (Avg Bid),Fixed,"Graphic Design, HTML, PHP, Website Design, WordPress",https://www.freelancer.com/projects/website-design/playful-school-website-development
165,Integrate Moneris Terminal with C#.NET POS,60 bids,15 hours left,$250 - $750,Fixed,".NET, C# Programming, Object Oriented Programming (OOP), Software Architecture",https://www.freelancer.com/projects/dot-net/integrate-moneris-terminal-with-net
166,Fantasy Book Cover Art,124 bids,6 days left,$88 (Avg Bid),Fixed,"Caricature & Cartoons, Graphic Design, Illustration, Illustrator, Photoshop",https://www.freelancer.com/projects/illustration/fantasy-book-cover-art-39357354
167,"Logo Design for Educational Institution ""ApplyGyaan""",33 bids,6 days left,$10 (Avg Bid),Fixed,"Graphic Design, Icon Design, Illustrator, Logo Design, Photoshop Design",https://www.freelancer.com/projects/logo-design/logo-design-for-educational-institution-39357336
168,LinkedIn VA for Lead Gen Growth,56 bids,6 days left,$20 (Avg Bid),Fixed,"Data Entry, Data Processing, Excel, Social Media Marketing, Virtual Assistant",https://www.freelancer.com/projects/virtual-assistant/linkedin-for-lead-gen-growth
169,Talented 3D Designer / Animator for Creative Projects!,11 bids,6 days left,$88 (Avg Bid),Fixed,"3D Animation, 3D Modelling, 3D Rendering, Animation, Maya",https://www.freelancer.com/projects/3d-modelling/talented-designer-animator-for-creative
170,Java Code Documentation Flowchart,20 bids,6 days left,$21 (Avg Bid),Fixed,"C Programming, Java",https://www.freelancer.com/projects/java/java-code-documentation-flowchart
171,WooCommerce Product Setup,144 bids,6 days left,$82 (Avg Bid),Fixed,"eCommerce, HTML, PHP, WooCommerce, WordPress",https://www.freelancer.com/projects/wordpress/woocommerce-product-setup
172,Integrate USDT Payments on dApp,2 bids,6 days left,$94 (Avg Bid),Fixed,"Blockchain, Cryptocurrency, DApps, Smart Contracts",https://www.freelancer.com/projects/dapss/integrate-usdt-payments-dapp
173,Authentic Warangal Real Estate Website,11 bids,6 days left,$21 (Avg Bid),Fixed,"Graphic Design, Internet Marketing, PHP, SEO, Website Design",https://www.freelancer.com/projects/website-design/authentic-warangal-real-estate-website
174,SUPREME CONSULTANCY SERVICES,4 bids,6 days left,$12 (Avg Bid),Fixed,"3D Design, 3D Logo, Business Card Design, Cover Letter, Logo Design",https://www.freelancer.com/projects/logo-design/supreme-consultancy-services
175,Boost Affiliate Blog Traffic,11 bids,6 days left,$68 (Avg Bid),Fixed,"Facebook Marketing, Internet Marketing, Link Building, Marketing, SEO",https://www.freelancer.com/projects/seo/boost-affiliate-blog-traffic
176,UGC Awareness Reel Creation,8 bids,6 days left,$12 (Avg Bid),Fixed,"Article Writing, Content Writing, Copywriting, Creative Writing, Ghostwriting",https://www.freelancer.com/projects/content-writing/ugc-awareness-reel-creation
177,Crypto News Screencasting Task,1 bids,6 days left,$15 (Avg Bid),Fixed,"Android, Cryptocurrency, Data Entry, Web Search",https://www.freelancer.com/projects/android/crypto-news-screencasting-task
178,YouTube Shorts Editing,31 bids,6 days left,$16 (Avg Bid),Fixed,"Editing, Video Editing, Video Production, Video Services, Videography",https://www.freelancer.com/projects/video-editing/youtube-shorts-editing-39357286
179,Social Media Content Creator,12 bids,6 days left,$20 (Avg Bid),Fixed,"Facebook Marketing, Internet Marketing, Social Media Marketing, Social Networking, Twitter",https://www.freelancer.com/projects/facebook-marketing/social-media-content-creator-39357282
180,Classic Branding Design Business,140 bids,6 days left,$99 (Avg Bid),Fixed,"Brochure Design, Flyer Design, Graphic Design, Logo Design, Photoshop",https://www.freelancer.com/projects/graphic-design/classic-branding-design-business
181,Exciting Polling Platform Logo,24 bids,6 days left,$15 (Avg Bid),Fixed,"Adobe InDesign, Graphic Design, Logo Design, Product Design, Website Design",https://www.freelancer.com/projects/logo-design/exciting-polling-platform-logo
182,Wholesale Business Website Development,15 bids,6 days left,$71 (Avg Bid),Fixed,"Graphic Design, HTML, PHP, Website Design, WordPress",https://www.freelancer.com/projects/website-design/wholesale-business-website-development
183,Client Acquisition for Data Sales,13 bids,6 days left,$80 (Avg Bid),Fixed,"Data Entry, Excel, Leads, Research, Web Search",https://www.freelancer.com/projects/data-entry/client-acquisition-for-data-sales
184,Gold-Accented Business Card Design,112 bids,6 days left,$24 (Avg Bid),Fixed,"Business Card Design, Graphic Design, Logo Design, Photoshop, Photoshop Design",https://www.freelancer.com/projects/graphic-design/gold-accented-business-card-design
185,"Book PDF Redesign editor , formatting , graphic design",36 bids,6 days left,$20 (Avg Bid),Fixed,"Amazon Kindle, Graphic Design, Illustrator, PDF, Photoshop",https://www.freelancer.com/projects/graphic-design/book-pdf-redesign-editor-formatting
186,Laravel - CRUD fixing and API integration (1 API only),42 bids,6 days left,$32 (Avg Bid),Fixed,"HTML, Laravel, MySQL, PHP, Software Architecture",https://www.freelancer.com/projects/php/laravel-crud-fixing-api-integration
187,Urgent Research Analysis PowerPoint,39 bids,6 days left,$12 (Avg Bid),Fixed,"Business Analysis, Powerpoint, Research, Research Writing, Technical Writing",https://www.freelancer.com/projects/powerpoint/urgent-research-analysis-powerpoint
188,Fun & Vibrant Flyers videos for Vital Tours,82 bids,6 days left,$26 (Avg Bid),Fixed,"Brochure Design, Flyer Design, Graphic Design, Logo Design, Photoshop",https://www.freelancer.com/projects/graphic-design/fun-vibrant-flyers-videos-for
189,Greek Product Catalogue Design,160 bids,6 days left,$100 (Avg Bid),Fixed,"Brochure Design, Corporate Identity, Covers & Packaging, Graphic Design, Logo Design",https://www.freelancer.com/projects/graphic-design/greek-product-catalogue-design
190,Modern Digital Menu Design,17 bids,6 days left,$13 (Avg Bid),Fixed,"Adobe InDesign, Brochure Design, Corporate Identity, Graphic Design, Illustrator",https://www.freelancer.com/projects/indesign/modern-digital-menu-design
191,German to Italian Translation Verification,32 bids,6 days left,$16 (Avg Bid),Fixed,"English (US) Translator, German Translator, Italian Translator, Odd Jobs, Translation",https://www.freelancer.com/projects/translation/german-italian-translation-verification
192,Business Developer for IT Projects,4 bids,6 days left,$92 (Avg Bid),Fixed,"Internet Marketing, Marketing, Sales",https://www.freelancer.com/projects/internet-marketing/business-developer-for-projects
193,Modern Minimalist Business Website,14 bids,6 days left,$61 (Avg Bid),Fixed,"cPanel, Creative Design, Creative Writing, Website Design",https://www.freelancer.com/projects/website-design/modern-minimalist-business-website-39357190
194,Sad Pop MIDI Song,15 bids,6 days left,$33 (Avg Bid),Fixed,"Apple Logic Pro, Audio Production, Audio Services, Music, Sound Design",https://www.freelancer.com/projects/music/sad-pop-midi-song
195,Professional Headshot Enhancement,68 bids,6 days left,$21 (Avg Bid),Fixed,"Graphic Design, Photo Editing, Photography, Photoshop, Photoshop Design",https://www.freelancer.com/projects/photoshop/professional-headshot-enhancement-39357144
196,Investment Pitch Deck Design,10 bids,6 days left,$62 (Avg Bid),Fixed,"Business Analysis, Business Plans, Market Research, Marketing, Research",https://www.freelancer.com/projects/market-research/investment-pitch-deck-design
197,Nigerian SMS Verification Service,16 bids,6 days left,$20 (Avg Bid),Fixed,"HTML5, iPad, jQuery / Prototype, Mobile App Development",https://www.freelancer.com/projects/mobile-app-development/nigerian-sms-verification-service
198,Setup Ministra stalker,6 bids,6 days left,$99 (Avg Bid),Fixed,"Android, Java, Linux, PHP, Software Architecture",https://www.freelancer.com/projects/php/setup-ministra-stalker
199,Boxing Animation for School Project,27 bids,6 days left,$45 (Avg Bid),Fixed,"3D Animation, Animation, Caricature & Cartoons, Graphic Design, Illustration",https://www.freelancer.com/projects/animation/boxing-animation-for-school-project
200,Recover Data from OST Files and Convert to PST,25 bids,6 days left,$22 (Avg Bid),Fixed,"Excel, Microsoft, Microsoft Outlook, Technical Support, Windows Desktop",https://www.freelancer.com/projects/microsoft-outlook/recover-data-from-ost-files
201,Machine Learning Specialist Needed,23 bids,6 days left,$32 (Avg Bid),Fixed,"Algorithm, Data Mining, Data Science, Machine Learning (ML), Python",https://www.freelancer.com/projects/machine-learning/machine-learning-specialist-needed-39357082
202,Fix Salesforce Survey Numbering Issue,10 bids,6 days left,$34 (Avg Bid),Fixed,"CRM, Salesforce App Development, Salesforce Lightning, Salesforce.com",https://www.freelancer.com/projects/salesforce-com/fix-salesforce-survey-numbering-issue
203,DNB Radiology Q-Bank App Development,14 bids,6 days left,$79 (Avg Bid),Fixed,"Android, Mobile App Development, PHP, Software Architecture, WordPress",https://www.freelancer.com/projects/php/dnb-radiology-bank-app-development
204,Domestic Freight Sales Specialist,2 bids,6 days left,$93 (Avg Bid),Fixed,"Internet Marketing, Leads, Marketing, Sales, Telemarketing",https://www.freelancer.com/projects/internet-marketing/domestic-freight-sales-specialist
205,Personalized Statements of Purpose Writer,30 bids,6 days left,$67 (Avg Bid),Fixed,"Article Rewriting, Article Writing, Ghostwriting, Research, Research Writing",https://www.freelancer.com/projects/research-writing/personalized-statements-purpose-writer
206,Minimalist Trademark-Ready Logo Design - 29/04/2025 10:26 EDT,98 bids,6 days left,$100 (Avg Bid),Fixed,"3D Design, Corporate Identity, Graphic Design, Illustrator, Logo Design",https://www.freelancer.com/projects/3d-design/minimalist-trademark-ready-logo-design
207,Elegant Packaging Design for Chocolate-Dipped Rice Cakes,97 bids,6 days left,$89 (Avg Bid),Fixed,"Brochure Design, Corporate Identity, Covers & Packaging, Graphic Design, Logo Design",https://www.freelancer.com/projects/graphic-design/elegant-packaging-design-for-chocolate
208,Shopify Store Design Refinement,54 bids,6 days left,$50 (Avg Bid),Fixed,"eCommerce, HTML, Shopify, Shopify Templates, Website Design",https://www.freelancer.com/projects/shopify-site/shopify-store-design-refinement
209,Commission Based Sales for Linkspreed,1 bids,6 days left,$10 (Avg Bid),Fixed,"Sales, Sales Promotion",https://www.freelancer.com/projects/sales/commission-based-sales-for-linkspreed
210,USA Client Lead Generation Specialist,14 bids,6 days left,$13 (Avg Bid),Fixed,"Advertising, Content Writing, Copywriting, Internet Marketing, Marketing",https://www.freelancer.com/projects/marketing/usa-client-lead-generation-specialist
211,LinkedIn Profile for Tech Networking,14 bids,6 days left,$12 (Avg Bid),Fixed,"Content Writing, Link Building, LinkedIn Profile, LinkedIn Recruiting",https://www.freelancer.com/projects/linkedin-profile/linkedin-profile-for-tech-networking
212,Arena Simulation Assistance,2 bids,5 days left,$30 (Avg Bid),Fixed,"Arena Simulation Programming, Engineering, Process Simulation, Simulation",https://www.freelancer.com/projects/engineering/arena-simulation-assistance
213,Cat Tale YouTube Short Creation,23 bids,6 days left,$19 (Avg Bid),Fixed,"Animation, Video Editing, Video Production, Video Services, Videography",https://www.freelancer.com/projects/video-editing/cat-tale-youtube-short-creation
214,Social Media Marketing Specialist,53 bids,6 days left,$65 (Avg Bid),Fixed,"Facebook Marketing, Internet Marketing, Pinterest, Social Media Marketing, Twitter",https://www.freelancer.com/projects/social-media-marketing/social-media-marketing-specialist-39357002
215,Mechanical Design Website Development,19 bids,6 days left,$85 (Avg Bid),Fixed,"Graphic Design, HTML, PHP, Website Design, WordPress",https://www.freelancer.com/projects/website-design/mechanical-design-website-development
216,Business Proposal with Product Photos,42 bids,6 days left,$38 (Avg Bid),Fixed,"Article Writing, Content Writing, Copy Typing, Data Entry, Data Processing",https://www.freelancer.com/projects/data-entry/business-proposal-with-product-photos
217,B2B Lead Gen Specialist Needed,36 bids,6 days left,$35 (Avg Bid),Fixed,"Data Entry, Data Mining, Leads, Sales, Web Search",https://www.freelancer.com/projects/leads/lead-gen-specialist-needed
218,Cutting-edge Medical SaaS explainer Video,17 bids,6 days left,$97 (Avg Bid),Fixed,"3D Animation, After Effects, Animation, Motion Graphics, Video Services",https://www.freelancer.com/projects/animation/cutting-edge-medical-saas-explainer
219,Oil & Gas Conference Flyer,236 bids,6 days left,$80 (Avg Bid),Fixed,"Brochure Design, Flyer Design, Graphic Design, Logo Design, Photoshop",https://www.freelancer.com/projects/graphic-design/oil-gas-conference-flyer
220,Classic Logo & Label Design for FreshNest,24 bids,6 days left,$14 (Avg Bid),Fixed,"Corporate Identity, Graphic Design, Illustrator, Logo Design, Photoshop",https://www.freelancer.com/projects/logo-design/classic-logo-label-design-for
221,Casual Brand Promo Video,36 bids,6 days left,$27 (Avg Bid),Fixed,"After Effects, Video Editing, Video Production, Video Services, Videography",https://www.freelancer.com/projects/video-editing/casual-brand-promo-video
222,Logo Design for Integrated Asset Brand,90 bids,6 days left,$61 (Avg Bid),Fixed,"Graphic Design, Icon Design, Illustrator, Logo Design, Photoshop",https://www.freelancer.com/projects/graphic-design/logo-design-for-integrated-asset
223,WordPress Tutor LMS Pro Fix,37 bids,6 days left,$78 (Avg Bid),Fixed,"Learning Management Systems (LMS), Website Design, WordPress",https://www.freelancer.com/projects/wordpress/wordpress-tutor-lms-pro-fix
224,Telegram Ad Specialist,6 bids,6 days left,$13 (Avg Bid),Fixed,"Advertising, Facebook Marketing, Google Adwords, Internet Marketing, Social Media Marketing",https://www.freelancer.com/projects/advertising/telegram-specialist
225,Website Category Structure Scrape -- 3,20 bids,6 days left,$46 (Avg Bid),Fixed,"Data Extraction, Data Scraping, Python, Scrapy, Web Scraping",https://www.freelancer.com/projects/python/website-category-structure-scrape-39356891
226,Fix Shopify oAuth error from the shopify app,36 bids,6 days left,$21 (Avg Bid),Fixed,"JavaScript, Laravel, Shopify, Shopify Development, Vue.js",https://www.freelancer.com/projects/javascript/fix-shopify-oauth-error-from
227,Long-Term Data Entry Specialist Needed,91 bids,6 days left,$24 (Avg Bid),Fixed,"BPO, Data Entry, Data Processing, Python, Web Scraping",https://www.freelancer.com/projects/data-entry/long-term-data-entry-specialist-39356885
228,ML Models Integration on Flask Website - 29/04/2025 09:17 EDT,11 bids,6 days left,$17 (Avg Bid),Fixed,"Django, Git, HTML, JavaScript, Python",https://www.freelancer.com/projects/django/models-integration-flask-website-edt
229,Modern Perfume Boutique (Middle East fragrances) retail shop Design -- 3,7 bids,6 days left,$73 (Avg Bid),Fixed,"Interior Design, Retail Sales",https://www.freelancer.com/projects/interior-design/modern-perfume-boutique-middle-east-39356882
230,Full Stack Development for Real-Time Dashboard,27 bids,6 days left,$91 (Avg Bid),Fixed,"Java, JavaScript, React.js, Spring Boot, SQL",https://www.freelancer.com/projects/java/full-stack-development-for-real
231,OPC Compliance and Funding Specialist,7 bids,6 days left,$87 (Avg Bid),Fixed,"Accounting, Business Analysis, Finance, Financial Analysis, Tax",https://www.freelancer.com/projects/accounting/opc-compliance-funding-specialist
232,Battery Charging Circuit Design,12 bids,6 days left,$99 (Avg Bid),Fixed,"Circuit Design, Electrical Engineering, Electronics, Engineering, PCB Layout",https://www.freelancer.com/projects/electronics/battery-charging-circuit-design
233,ASCII to Logical Circuit,3 bids,6 days left,$13 (Avg Bid),Fixed,"Circuit Design, Electrical Engineering, Electronics, Microcontroller, PCB Layout",https://www.freelancer.com/projects/electronics/design-logical-circuit-have-ascii
234,Shopify Theme Migration,62 bids,6 days left,$49 (Avg Bid),Fixed,"CSS, HTML, Shopify, Shopify Templates, Website Design",https://www.freelancer.com/projects/shopify-site/shopify-theme-migration
235,Casual Interview Video Editing,45 bids,6 days left,$22 (Avg Bid),Fixed,"Audio Production, Audio Services, Video Editing, Video Production, Voice Talent",https://www.freelancer.com/projects/video-editing/casual-interview-video-editing-39356865
236,T-Shirt Design on Outfits -- 2,75 bids,6 days left,$28 (Avg Bid),Fixed,"Graphic Design, Illustrator, Photoshop, Photoshop Design, T-Shirts",https://www.freelancer.com/projects/tshirts/shirt-design-outfits
237,Hindi English code-mixed Data Annotation Task ( Only for students- Part Time),12 bids,6 days left,$54 (Avg Bid),Fixed,"English Grammar, English Translation, Hindi Translator",https://www.freelancer.com/projects/english-grammar/hindi-english-code-mixed-data
238,AI to PSD Conversion with Layers,33 bids,6 days left,$68 (Avg Bid),Fixed,"Adobe InDesign, Graphic Design, Illustrator, Photoshop, Photoshop Design",https://www.freelancer.com/projects/photoshop/psd-conversion-with-layers
239,Minimalist Abstract Coffee Party Illustration,44 bids,6 days left,$22 (Avg Bid),Fixed,"Caricature & Cartoons, Graphic Design, Illustration, Illustrator, Visual Arts",https://www.freelancer.com/projects/illustration/minimalist-abstract-coffee-party
240,Traditional Email Signature Design,71 bids,6 days left,$41 (Avg Bid),Fixed,"Graphic Design, Illustrator, Logo Design, Photoshop, Website Design",https://www.freelancer.com/projects/graphic-design/traditional-email-signature-design-39356815
241,Corporate Website for Manufacturing Startup,47 bids,6 days left,$100 (Avg Bid),Fixed,"Graphic Design, HTML, PHP, SEO, Website Design",https://www.freelancer.com/projects/website-design/corporate-website-for-manufacturing
242,Instagram Content Creator for Juice Business,84 bids,6 days left,$34 (Avg Bid),Fixed,"Content Writing, Creative Writing, Graphic Design, Logo Design, Slogans",https://www.freelancer.com/projects/graphic-design/instagram-content-creator-for-juice
243,AI Technical Presentation for Students,54 bids,6 days left,$55 (Avg Bid),Fixed,"Article Writing, Content Writing, Copywriting, Powerpoint, Technical Writing",https://www.freelancer.com/projects/powerpoint/technical-presentation-for-students
244,T-Shirt Graphic Design,62 bids,6 days left,$25 (Avg Bid),Fixed,"Graphic Design, Illustrator, Photoshop, Photoshop Design, T-Shirts",https://www.freelancer.com/projects/graphic-design/shirt-graphic-design-39356757
245,Minimalist E-commerce Filter Box,11 bids,6 days left,$12 (Avg Bid),Fixed,"CSS, HTML, PHP, Website Design, WordPress",https://www.freelancer.com/projects/wordpress/minimalist-commerce-filter-box
246,Investor Pitch Deck Creation -- 2,16 bids,6 days left,$31 (Avg Bid),Fixed,"Finance, Graphic Design, Website Design",https://www.freelancer.com/projects/finance/investor-pitch-deck-creation-39356755
247,Cake Promo Video,0 bids,6 days left,$10 - $30,Fixed,"Animation, Video Editing, Video Production, Video Services, Videography",https://www.freelancer.com/projects/video-editing/cake-promo-video
248,Video Time Edit,57 bids,6 days left,$22 (Avg Bid),Fixed,"After Effects, Video Editing, Video Production, Video Services, Videography",https://www.freelancer.com/projects/video-editing/video-time-edit
249,Photo Editing with Special Effects,104 bids,6 days left,$37 (Avg Bid),Fixed,"Graphic Design, Illustrator, Photo Editing, Photoshop, Photoshop Design",https://www.freelancer.com/projects/photoshop/photo-editing-with-special-effects
