ID,Title,Posted,Budget,Duration,Number of Offers,Tags,Link
13,مشروع لعد الأشجار بالذكاء اصطناعي,from 3 hours,$75.00 ,14 days,4,"programing,  application development , programing data base",https://mostaql.com/project/1079973-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%84%D8%B9%D8%AF-%D8%A7%D9%84%D8%A3%D8%B4%D8%AC%D8%A7%D8%B1-%D8%A8%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A
14,مطور Backend لتنفيذ مشروع جاهز,from 8 hours,$73.00 ,6 days,18," application development ,  management web, programing, programing web, python, PHP, java script, HTML, CSS",https://mostaql.com/project/1080034-%D9%85%D8%B7%D9%88%D8%B1-backend-%D9%84%D8%AA%D9%86%D9%81%D9%8A%D8%B0-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%AC%D8%A7%D9%87%D8%B2
15,مصمم css لweb في سلة,from hours,$50.00 ,5 days,13,"design جرافيك, programing,  application development , programing data base, programing web",https://mostaql.com/project/1080212-%D9%85%D8%B5%D9%85%D9%85-css-%D9%84%D9%85%D9%88%D9%82%D8%B9-%D9%81%D9%8A-%D8%B3%D9%84%D8%A9
16,عمل Dashboard لمتابعة سير أعمال المشروع,from 38 minutes,$50.00 ,1 day,2,"تصوير البيانات, تحليل البيانات, مايكروسوفت إكسل, Figma, Power BI, design داش بورد",https://mostaql.com/project/1080249-%D8%B9%D9%85%D9%84-dashboard-%D9%84%D9%85%D8%AA%D8%A7%D8%A8%D8%B9%D8%A9-%D8%B3%D9%8A%D8%B1-%D8%A3%D8%B9%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%B9
17,design drop pages متجر,from 8 hours,$199.00 ,1 day,16,"photoshop, design جرافيك, الdesign الإبداعي, design إعلان, create drop pages, design صفحات الهبوط, programing, programing web",https://mostaql.com/project/1080043-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%B5%D9%81%D8%AD%D8%A9-%D9%87%D8%A8%D9%88%D8%B7-%D9%85%D8%AA%D8%AC%D8%B1
18,design web إلكتروني,from 3 hours,$100.00 ,10 days,14,"design web إلكتروني, programing web, create web إلكتروني, create web wordpress, wordpress, MySQL, bootstrap, PHP, java script, CSS, HTML, الdesign الإبداعي, الفكرة الdesignية",https://mostaql.com/project/1080183-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A
19,كتابة وdesign مشروع محاسبي لشركة أغذية,from 28 minutes,$250.00 ,10 days,3,"كتابة المحتوى, design web إلكتروني, create web إلكتروني, devweb, الdesign الإبداعي, programing,programming engineer",https://mostaql.com/project/1080252-%D9%83%D8%AA%D8%A7%D8%A8%D8%A9-%D9%88%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AD%D8%A7%D8%B3%D8%A8%D9%8A-%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D8%A3%D8%BA%D8%B0%D9%8A%D8%A9
20,design web احترافي متجاوب مع جميع الأجهزة,from hours,$205.00 ,10 days,16,"programing, programing web, create web إلكتروني, أمن وحماية الweb, python, PHP, CSS, java script",https://mostaql.com/project/1080199-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D9%85%D8%AA%D8%AC%D8%A7%D9%88%D8%A8-%D9%85%D8%B9-%D8%AC%D9%85%D9%8A%D8%B9-%D8%A7%D9%84%D8%A3%D8%AC%D9%87%D8%B2%D8%A9
21,بناء واجهات بفلاتر,from hour,$100.00 ,10 days,13,"flutter, Front End, programing,  application development , programing web, design  applicationات",https://mostaql.com/project/1078844-%D8%A8%D9%86%D8%A7%D8%A1-%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-%D8%A8%D9%81%D9%84%D8%A7%D8%AA%D8%B1
22,حل مشكلةً عدم ظهور الصور في ال application ولوحة التحكم والخرائط,from 3 hours,$100.00 ,7 days,5,"programing web, programing iOS, programing android ,programming engineer, dev apps ,  application development ",https://mostaql.com/project/1080184-%D8%AD%D9%84-%D9%85%D8%B4%D9%83%D9%84%D8%A9-%D8%B9%D8%AF%D9%85-%D8%B8%D9%87%D9%88%D8%B1-%D8%A7%D9%84%D8%B5%D9%88%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%88%D9%84%D9%88%D8%AD%D8%A9-%D8%A7%D9%84%D8%AA%D8%AD%D9%83%D9%85-%D9%88%D8%A7%D9%84%D8%AE%D8%B1%D8%A7%D8%A6%D8%B7
23, application SCADA System لـ LS PLC,from 8 hours,$250.00 ,3 days,1,"PLC, C# Programming, programing,  application development ,programming engineer",https://mostaql.com/project/1080058-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-scada-system-%D9%84%D9%80-ls-plc
24,create بوت محلي (Desktop Bot) يعتمد على ChatGPT API للتحكم في الملفات,from 6 hours,$35.00 ,2 days,11," application development ,programming engineer, testing  programes , تعلم programing, programing الخطية, أنظمة مدمجة, programing, تصحيح برمجي, programing  apps , programing web",https://mostaql.com/project/1080119-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%A8%D9%88%D8%AA-%D9%85%D8%AD%D9%84%D9%8A-desktop-bot-%D9%8A%D8%B9%D8%AA%D9%85%D8%AF-%D8%B9%D9%84%D9%89-chatgpt-api-%D9%84%D9%84%D8%AA%D8%AD%D9%83%D9%85-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D9%84%D9%81%D8%A7%D8%AA
25,تعديل على  application flutter ولوحة تحكم php,from 6 hours,$118.00 ,7 days,1,"flutter, PHP, Back End, Front End, programing  apps , programing iOS, programing android , programing  applicationات أيفون, Dart",https://mostaql.com/project/1080104-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D8%B9%D9%84%D9%89-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-flutter-%D9%88%D9%84%D9%88%D8%AD%D8%A9-%D8%AA%D8%AD%D9%83%D9%85-php
26,تعديل وتحسين متجر في سلة وcreate متجر جديد مع تفعيل قنوات الدفع تابي وتمارا,from 11 hour,$450.00 ,7 days,6,"design  online market, الdesign الإبداعي, design UI, design UI UX, design UX, adobe xd, Adobe Illustrator",https://mostaql.com/project/1079988-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D9%88%D8%AA%D8%AD%D8%B3%D9%8A%D9%86-%D9%85%D8%AA%D8%AC%D8%B1-%D9%81%D9%8A-%D8%B3%D9%84%D8%A9-%D9%88%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D8%AA%D8%AC%D8%B1-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%85%D8%B9-%D8%AA%D9%81%D8%B9%D9%8A%D9%84-%D9%82%D9%86%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D8%AF%D9%81%D8%B9-%D8%AA%D8%A7%D8%A8%D9%8A-%D9%88%D8%AA%D9%85%D8%A7%D8%B1%D8%A7
27,testing نظام,from 15 hour,$50.00 ,3 days,8,"design UI, programing, Front End, Back End, تحسين محركات البحث, تحليل البيانات, C# Programming, java script",https://mostaql.com/project/1079828-%D8%A5%D8%AE%D8%AA%D8%A8%D8%A7%D8%B1-%D9%86%D8%B8%D8%A7%D9%85
28,بناء نظام ساس,from 10 hours,$500.00 ,30 days,4,"laravel, Back End, programing web, design داش بورد,programming engineer,  application development , testing الweb, design UI UX, programing android ",https://mostaql.com/project/1080001-%D8%A8%D9%86%D8%A7%D8%A1-%D9%86%D8%B8%D8%A7%D9%85-%D8%B3%D8%A7%D8%B3
29,design متجر على شوبيفاي,from 13 hour,$100.00 ,3 days,7,"design جرافيك, الdesign الإبداعي,  application development , programing web, شوبيفاي, قوالب شوبيفاي",https://mostaql.com/project/1079842-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D8%AA%D8%AC%D8%B1-%D8%B9%D9%84%D9%89-%D8%B4%D9%88%D8%A8%D9%8A%D9%81%D8%A7%D9%8A
30,design وcreate web متخصص لخدمات رجال الأعمال والمستثمرين,from day,"$1,200.00 ",30 days,41,"التسويق عبر الإنترنت, design web إلكتروني, programing web, devweb, design web, خدمات web, devwebالكامل, create web إلكتروني",https://mostaql.com/project/1079622-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%88%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D8%B1%D8%AC%D8%A7%D9%84-%D8%A7%D9%84%D8%A3%D8%B9%D9%85%D8%A7%D9%84-%D9%88%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D8%AB%D9%85%D8%B1%D9%8A%D9%86
31,مصمم واجهات أمامية ومبرمج باكند لweb عمل حر,from 16 hour,"$1,100.00 ",60 days,24,"Back End, design UI, واجهة programing  apps , React, React Native, Next.js, PHP, laravel",https://mostaql.com/project/1079736-%D9%85%D8%B5%D9%85%D9%85-%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-%D8%A3%D9%85%D8%A7%D9%85%D9%8A%D8%A9-%D9%88%D9%85%D8%A8%D8%B1%D9%85%D8%AC-%D8%A8%D8%A7%D9%83%D9%86%D8%AF-%D9%84%D9%85%D9%88%D9%82%D8%B9-%D8%B9%D9%85%D9%84-%D8%AD%D8%B1
32,create داش بورد تفاعلي,from 15 hour,$30.00 ,3 days,48,"مايكروسوفت أوفيس, مايكروسوفت إكسل,  application development , programing, programing data base",https://mostaql.com/project/1079843-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%AF%D8%A7%D8%B4-%D8%A8%D9%88%D8%B1%D8%AF-%D8%AA%D9%81%D8%A7%D8%B9%D9%84%D9%8A
33,مبرمج لارافل فيو جي اس لعمل لتعديل بweb,from 12 hour,$30.00 ,1 day,10,"laravel, vuejs, PHP, java script, programing,  application development , programing web",https://mostaql.com/project/1079977-%D9%85%D8%A8%D8%B1%D9%85%D8%AC-%D9%84%D8%A7%D8%B1%D8%A7%D9%81%D9%84-%D9%81%D9%8A%D9%88-%D8%AC%D9%8A-%D8%A7%D8%B3-%D9%84%D8%B9%D9%85%D9%84-%D9%84%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D8%A8%D9%85%D9%88%D9%82%D8%B9
34, application جوال لفكرة مجتمعية بسيطة ومفيدة,from day,"$1,400.00 ",45 days,29,"programing, اللغة العربية, design UX, design UI, design UI UX, design  applicationات الهواتف الذكية, design  applicationات, Swift, Ionic, kotlin, java, programing iOS, programing  apps , programing android ",https://mostaql.com/project/1079762-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AC%D9%88%D8%A7%D9%84-%D9%84%D9%81%D9%83%D8%B1%D8%A9-%D9%85%D8%AC%D8%AA%D9%85%D8%B9%D9%8A%D8%A9-%D8%A8%D8%B3%D9%8A%D8%B7%D8%A9-%D9%88%D9%85%D9%81%D9%8A%D8%AF%D8%A9
35,عمل  application جوال لشركة هندسية,from 14 hour,$699.00 ,30 days,7,"design web, C# Programming, design, design  applicationات, create  online market, programing  apps ,  application development , programing,programming engineer, programing iOS, programing android ",https://mostaql.com/project/1079891-%D8%B9%D9%85%D9%84-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AC%D9%88%D8%A7%D9%84-%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D9%87%D9%86%D8%AF%D8%B3%D9%8A%D8%A9
36,design web إلكتروني,from 11 hour,$300.00 ,3 days,19,"design web إلكتروني, programing web, اللغة العربية, design إعلان, اللغة الإنجليزية, الفكرة الdesignية",https://mostaql.com/project/1079993-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A
37,تدريب نموذج ذكاء إصطناعي,from 10 hours,$600.00 ,20 days,42,"الذكاء الاصطناعي, programing, programing web,programming engineer, التعلم الآلي",https://mostaql.com/project/1080003-%D8%AA%D8%AF%D8%B1%D9%8A%D8%A8-%D9%86%D9%85%D9%88%D8%B0%D8%AC-%D8%B0%D9%83%D8%A7%D8%A1-%D8%A5%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A
38,design web إلكتروني لشركة خدمات wordpress,from 10 hours,$100.00 ,10 days,29,"design web إلكتروني, programing web, أمن وحماية الweb, python, PHP, CSS, java script, wordpress, create web wordpress",https://mostaql.com/project/1043059-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D9%88%D9%88%D8%B1%D8%AF%D8%A8%D8%B1%D9%8A%D8%B3
39,dev online market إحترافي باستخدام wordpress + ووكومرس,from 14 hour,$150.00 ,4 days,18,"programing web, design web, design UI UX, create web إلكتروني, ووكومرس, design web إلكتروني, create web wordpress",https://mostaql.com/project/1079926-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D8%AA%D8%AC%D8%B1-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D8%A5%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%88%D9%88%D8%B1%D8%AF%D8%A8%D8%B1%D9%8A%D8%B3-%D9%88%D9%88%D9%83%D9%88%D9%85%D8%B1%D8%B3
40,بناء  application أو منصة لبيع مواد صوتية مع نظام حماية المحتوى,from 13 hour,"$1,000.00 ",60 days,7,"design web, design بوسترات, design  applicationات, programing,  application development , programing web, programing  apps ,programming engineer",https://mostaql.com/project/1079937-%D8%A8%D9%86%D8%A7%D8%A1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%A3%D9%88-%D9%85%D9%86%D8%B5%D8%A9-%D9%84%D8%A8%D9%8A%D8%B9-%D9%85%D9%88%D8%A7%D8%AF-%D8%B5%D9%88%D8%AA%D9%8A%D8%A9-%D9%85%D8%B9-%D9%86%D8%B8%D8%A7%D9%85-%D8%AD%D9%85%D8%A7%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%AD%D8%AA%D9%88%D9%89
41,عمل web بورتفوليو شخصى,from 15 hour,$150.00 ,7 days,42,"design web إلكتروني, HTML, programing,  application development , programing web",https://mostaql.com/project/1079860-%D8%B9%D9%85%D9%84-%D9%85%D9%88%D9%82%D8%B9-%D8%A8%D9%88%D8%B1%D8%AA%D9%81%D9%88%D9%84%D9%8A%D9%88-%D8%B4%D8%AE%D8%B5%D9%89
42,مطور Flutter و Firebase لصيانة  application تعليمي وdevميزات بسيطة,from 14 hour,$125.00 ,60 days,10," application development , programing, programing web, programing  apps ,programming engineer, تصحيح برمجي",https://mostaql.com/project/1079920-%D9%85%D8%B7%D9%88%D8%B1-flutter-%D9%88-firebase-%D9%84%D8%B5%D9%8A%D8%A7%D9%86%D8%A9-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A-%D9%88%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%8A%D8%B2%D8%A7%D8%AA-%D8%A8%D8%B3%D9%8A%D8%B7%D8%A9
43,programing  application تواصل إجتماعي,from 14 hour,$300.00 ,25 days,4,"java script, HTML, Adobe Illustrator, design  applicationات, design UI UX, create  application, programing web, C++ Programming, إنتاج الفيديو, programing, programing iOS, programing  apps , programing android , programing  applicationات أيفون,programming engineer",https://mostaql.com/project/1079944-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AA%D9%88%D8%A7%D8%B5%D9%84-%D8%A5%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%D9%8A
44,محترف في سلة لإعادة هيكلة web,from 14 hour,$120.00 ,2 days,3,"design جرافيك, كتابة المحتوى, الفكرة الdesignية, سلة, تحرير المحتوى, التسويق عبر web التواصل الاجتماعي, التسويق الإلكتروني, photoshop, design  online market, إدخال بيانات, تعديل الصور",https://mostaql.com/project/1079898-%D9%85%D8%AD%D8%AA%D8%B1%D9%81-%D9%81%D9%8A-%D8%B3%D9%84%D8%A9-%D9%84%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D9%87%D9%8A%D9%83%D9%84%D8%A9-%D9%85%D9%88%D9%82%D8%B9
45,devweb لتقديم دورات عن التسويق,from 10 hours,$400.00 ,20 days,10,"design UI UX, programing, programing data base, design web إلكتروني, كتابة المحتوى, التسويق الإلكتروني, PHP, تدريس خصوصي, wordpress, java script, devweb, programing web, laravel, تدريب عن بعد",https://mostaql.com/project/1080020-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D9%84%D8%AA%D9%82%D8%AF%D9%8A%D9%85-%D8%AF%D9%88%D8%B1%D8%A7%D8%AA-%D8%B9%D9%86-%D8%A7%D9%84%D8%AA%D8%B3%D9%88%D9%8A%D9%82
46,create  application فلاتر,from 10 hours,$495.00 ,15 days,27,"programing android , programing  apps , programing iOS, java, kotlin, Ionic, Swift",https://mostaql.com/project/1080004-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%81%D9%84%D8%A7%D8%AA%D8%B1
47,إضافة نظام 3cx إلى خدمة العملاء,from 12 hour,$250.00 ,3 days,1,"خدمة العملاء, خدمة العملاء عبر الهاتف,  management شبكات, مركز الاتصال, programing,  application development ,programming engineer",https://mostaql.com/project/1079976-%D8%A5%D8%B6%D8%A7%D9%81%D8%A9-%D9%86%D8%B8%D8%A7%D9%85-3cx-%D8%A5%D9%84%D9%89-%D8%AE%D8%AF%D9%85%D8%A9-%D8%A7%D9%84%D8%B9%D9%85%D9%84%D8%A7%D8%A1
