Title,Link,Client,Type,Budget,Category,Date Posted,Category.1
Electronic rosary,https://www.freelanceyard.com/en/jobs/sbh-alktrony,Null - Individual,- Individual,4.8,IT & Tech,2025-05-08,Robotics
Coin flip,https://www.freelanceyard.com/en/jobs/coin-flip,Null - Individual,- Individual,3.2,IT & Tech,2025-05-08,Other
Profile app,https://www.freelanceyard.com/en/jobs/profile-app,Null - Individual,- Individual,9.6,IT & Tech,2025-05-06,Mobile Development
Full Stack E-Commerce Web Application,https://www.freelanceyard.com/en/jobs/full-stack-e-commerce-web-application,Electro Softs. - Startup,- Startup,75.0,IT & Tech,2025-05-06,Web Development
A technical support specialist is required to analyze customer support and classification reports,https://www.freelanceyard.com/en/jobs/mtlob-akhsayy-daam-fny-lthlyl-tkaryr-tthakr-daam-alaamlaaa-otsnyfha,Techspire - Startup,- Startup,8.0,IT & Tech,2025-05-07,Data Analysis
To-do-list,https://www.freelanceyard.com/en/jobs/to-do-list,computing - Ngo,- Ngo,11.2,IT & Tech,2025-05-07,Other
Checkout Page: Payment Options for an Online Course Platform,https://www.freelanceyard.com/en/jobs/checkout-page-payment-options-for-an-online-course-platform-1,UXera - Startup,- Startup,4.8,IT & Tech,2025-05-07,Web Development
Animation for Checkout Page for an Online Course Platform,https://www.freelanceyard.com/en/jobs/animation-for-checkout-page-for-an-online-course-platform-1,UXera - Startup,- Startup,3.2,IT & Tech,2025-05-07,Web Development
About Us Page for an Online Course Platform,https://www.freelanceyard.com/en/jobs/about-us-page-for-an-online-course-platform-1,UXera - Startup,- Startup,5.0,IT & Tech,2025-05-07,Web Development
Bakery website,https://www.freelanceyard.com/en/jobs/bakery-website,بدايه - Individual,- Individual,3.2,IT & Tech,2025-05-07,Web Development
Designer and developer of novice sites is required to create a simple multi -page site,https://www.freelanceyard.com/en/jobs/mtlob-msmm-omtor-moakaa-mbtdy-lanshaaa-mokaa-bsyt-mtaadd-alsfhat-1,Codenox Technology - Startup,- Startup,9.5,IT & Tech,2025-05-07,Web Development
portfolio,https://www.freelanceyard.com/en/jobs/portfolio-4,individual - Startup,- Startup,9.6,IT & Tech,2025-05-06,Other
portfolio,https://www.freelanceyard.com/en/jobs/portfolio-3,individual - Startup,- Startup,9.6,IT & Tech,2025-05-06,Other
portfolio,https://www.freelanceyard.com/en/jobs/portfolio-2,individual - Startup,- Startup,9.6,IT & Tech,2025-05-06,Other
Login and register design,https://www.freelanceyard.com/en/jobs/tsmym-login-o-register,individual - Startup,- Startup,6.4,IT & Tech,2025-05-06,UI/UX and Graphic Design
Design the 'User Memory Consent Manager'.,https://www.freelanceyard.com/en/jobs/design-the-user-memory-consent-manager-1,Badr Design - Startup,- Startup,5.0,IT & Tech,2025-05-06,UI/UX and Graphic Design
Design the 'Weekly AI Reflection Summary' screen.,https://www.freelanceyard.com/en/jobs/design-the-weekly-ai-reflection-summary-screen-1,Badr Design - Startup,- Startup,4.8,IT & Tech,2025-05-06,Artificial Intelligence
UX/UI Designer Needed to Design Interfaces for a Women’s Clothing Mobile App,https://www.freelanceyard.com/en/jobs/uxui-designer-needed-to-design-interfaces-for-a-womens-clothing-mobile-app,Roqaya fashion - Startup,- Startup,9.6,IT & Tech,2025-05-05,Mobile Development
Search screen design + search results for the application,https://www.freelanceyard.com/en/jobs/tsmym-shash-bhth-ntayg-albhth-lttbyk-1,Basant - Individual,- Individual,3.2,IT & Tech,2025-05-05,Web Development
Login and register design with a unified style,https://www.freelanceyard.com/en/jobs/tsmym-shashty-login-o-register-bstayl-mohd-1,Basant - Individual,- Individual,5.0,IT & Tech,2025-05-05,UI/UX and Graphic Design
Login and register design with a uniform style + web and mobile version,https://www.freelanceyard.com/en/jobs/tsmym-shashty-login-o-register-bstayl-mohd-nskh-web-o-mobile-1,Basant - Individual,- Individual,4.8,IT & Tech,2025-05-05,Web Development
Settings Design / Settings for the application,https://www.freelanceyard.com/en/jobs/tsmym-shash-settings-alaaadadat-lttbyk-1,Basant - Individual,- Individual,4.8,IT & Tech,2025-05-05,Networking
Simple profile user screen design,https://www.freelanceyard.com/en/jobs/tsmym-shash-profile-user-bsyt-1,Basant - Individual,- Individual,3.2,IT & Tech,2025-05-05,UI/UX and Graphic Design
