,Title,Posted,Budget,Duration(Days),number of offers,Link,Category_English,Category_Arabic
10,تطوير تطبيق موبايل,2025-05-17,37.5,60.0,6,https://mostaql.com/project/1090907-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84,ERP / CRM Systems,أنظمة ERP / CRM
11,تطبيق تلخيص المحاضرات,2025-05-17,750.0,7.0,15,https://mostaql.com/project/1091265-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AA%D9%84%D8%AE%D9%8A%D8%B5-%D8%A7%D9%84%D9%85%D8%AD%D8%A7%D8%B6%D8%B1%D8%A7%D8%AA,Web Development,تطوير الويب
12,إنشاء موقع إلكتروني,2025-05-17,175.0,15.0,36,https://mostaql.com/project/1091211-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A,Web Development,تطوير الويب
13,محلل نظم ومصمم UX لتجهيز تحليل شامل ونموذج تفاعلي لمنصة إلكترونية,2025-05-17,375.0,25.0,2,https://mostaql.com/project/1091294-%D9%85%D8%AD%D9%84%D9%84-%D9%86%D8%B8%D9%85-%D9%88%D9%85%D8%B5%D9%85%D9%85-ux-%D9%84%D8%AA%D8%AC%D9%87%D9%8A%D8%B2-%D8%AA%D8%AD%D9%84%D9%8A%D9%84-%D8%B4%D8%A7%D9%85%D9%84-%D9%88%D9%86%D9%85%D9%88%D8%B0%D8%AC-%D8%AA%D9%81%D8%A7%D8%B9%D9%84%D9%8A-%D9%84%D9%85%D9%86%D8%B5%D8%A9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9,UI/UX and Graphic Design,واجهة المستخدم/UX وتصميم الجرافيك
14,تحديد دخول الحسابات لمشاهدة فيديوهات تعليمية,2025-05-17,75.0,5.0,3,https://mostaql.com/project/1091223-%D8%AA%D8%AD%D8%AF%D9%8A%D8%AF-%D8%AF%D8%AE%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D8%B3%D8%A7%D8%A8%D8%A7%D8%AA-%D9%84%D9%85%D8%B4%D8%A7%D9%87%D8%AF%D8%A9-%D9%81%D9%8A%D8%AF%D9%8A%D9%88%D9%87%D8%A7%D8%AA-%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9,Web Development,تطوير الويب
15,مستقل تعلم آلة (Machine Learning Engineer) للعمل على مشروع استشاري قصير المدى,2025-05-17,37.5,4.0,3,https://mostaql.com/project/1091158-%D9%85%D8%B3%D8%AA%D9%82%D9%84-%D8%AA%D8%B9%D9%84%D9%85-%D8%A2%D9%84%D8%A9-machine-learning-engineer-%D9%84%D9%84%D8%B9%D9%85%D9%84-%D8%B9%D9%84%D9%89-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D9%8A-%D9%82%D8%B5%D9%8A%D8%B1-%D8%A7%D9%84%D9%85%D8%AF%D9%89,Artificial Intelligence,الذكاء الاصطناعي
16,برمجة واعداد وتصميم منصة استشارات وخدمات قانونية,2025-05-17,750.0,5.0,40,https://mostaql.com/project/995534-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D9%88%D8%A7%D8%B9%D8%AF%D8%A7%D8%AF-%D9%88%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%86%D8%B5%D8%A9-%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA-%D9%88%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D9%82%D8%A7%D9%86%D9%88%D9%86%D9%8A%D8%A9,Mobile Development,تطوير الهاتف المحمول
17,إنشاء موقع إلكتروني,2025-05-17,1750.0,90.0,5,https://mostaql.com/project/1091288-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A,Web Development,تطوير الويب
18,إضافة شرح وتدريبات تعليمية لتطبيق,2025-05-17,37.5,60.0,17,https://mostaql.com/project/1091206-%D8%A5%D8%B6%D8%A7%D9%81%D8%A9-%D8%B4%D8%B1%D8%AD-%D9%88%D8%AA%D8%AF%D8%B1%D9%8A%D8%A8%D8%A7%D8%AA-%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9-%D9%84%D8%AA%D8%B7%D8%A8%D9%8A%D9%82,Networking,الشبكات
19,تطبيق توصيل شامل (مطاعم، بقالات، وصيدليات) مع لوحة تحكم مباشر للسوق السوري,2025-05-17,1750.0,90.0,3,https://mostaql.com/project/1090852-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AA%D9%88%D8%B5%D9%8A%D9%84-%D8%B4%D8%A7%D9%85%D9%84-%D9%85%D8%B7%D8%A7%D8%B9%D9%85-%D8%A8%D9%82%D8%A7%D9%84%D8%A7%D8%AA-%D9%88%D8%B5%D9%8A%D8%AF%D9%84%D9%8A%D8%A7%D8%AA-%D9%85%D8%B9-%D9%84%D9%88%D8%AD%D8%A9-%D8%AA%D8%AD%D9%83%D9%85-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1-%D9%84%D9%84%D8%B3%D9%88%D9%82-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A,Mobile Development,تطوير الهاتف المحمول
20,مطور واجهة امامية,2025-05-17,175.0,7.0,4,https://mostaql.com/project/1091148-%D9%85%D8%B7%D9%88%D8%B1-%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D8%A7%D9%85%D8%A7%D9%85%D9%8A%D8%A9,Web Development,تطوير الويب
21,تطوير تطبيق موبايل وإضافة مسابقات,2025-05-17,37.5,60.0,6,https://mostaql.com/project/1091205-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D9%88%D8%A5%D8%B6%D8%A7%D9%81%D8%A9-%D9%85%D8%B3%D8%A7%D8%A8%D9%82%D8%A7%D8%AA,Other,آخر
22,برمجة موقع عبر الووردبريس وووكومرس,2025-05-17,175.0,1.0,6,https://mostaql.com/project/1091165-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D9%85%D9%88%D9%82%D8%B9-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D9%88%D9%88%D8%B1%D8%AF%D8%A8%D8%B1%D9%8A%D8%B3-%D9%88%D9%88%D9%88%D9%83%D9%88%D9%85%D8%B1%D8%B3,Web Development,تطوير الويب
23,مستقل مختص Senior Next js Developer,2025-05-17,175.0,15.0,4,https://mostaql.com/project/1091135-%D9%85%D8%B3%D8%AA%D9%82%D9%84-%D9%85%D8%AE%D8%AA%D8%B5-senior-next-js-developer,Web Development,تطوير الويب
24,تغير رمز علامة الريال في نظام CRM,2025-05-17,75.0,1.0,6,https://mostaql.com/project/1091279-%D8%AA%D8%BA%D9%8A%D8%B1-%D8%B1%D9%85%D8%B2-%D8%B9%D9%84%D8%A7%D9%85%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D9%84-%D9%81%D9%8A-%D9%86%D8%B8%D8%A7%D9%85-crm,Web Development,تطوير الويب
25,تصميم موقع إلكتروني لشركة مهنية,2025-05-17,175.0,7.0,21,https://mostaql.com/project/1091052-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D9%85%D9%87%D9%86%D9%8A%D8%A9,Web Development,تطوير الويب
26,تنصيب تطبيق SaaS جاهز (Next.js 15 + Auth.js + Supabase),2025-05-17,75.0,3.0,1,https://mostaql.com/project/1090957-%D8%AA%D9%86%D8%B5%D9%8A%D8%A8-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-saas-%D8%AC%D8%A7%D9%87%D8%B2-nextjs-15-authjs-supabase,Web Development,تطوير الويب
27,حل مشكل بلوجن otp DIGITS على woocommerce,2025-05-17,37.5,1.0,14,https://mostaql.com/project/1090831-%D8%AD%D9%84-%D9%85%D8%B4%D9%83%D9%84-%D8%A8%D9%84%D9%88%D8%AC%D9%86-otp-digits-%D8%B9%D9%84%D9%89-woocommerce,Web Development,تطوير الويب
28,مصمم محترف لعمل موقع ضخم إحترافي,2025-05-17,750.0,60.0,10,https://mostaql.com/project/1090824-%D9%85%D8%B5%D9%85%D9%85-%D9%85%D8%AD%D8%AA%D8%B1%D9%81-%D9%84%D8%B9%D9%85%D9%84-%D9%85%D9%88%D9%82%D8%B9-%D8%B6%D8%AE%D9%85-%D8%A5%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A,Web Development,تطوير الويب
29,إعادة تصميم واجهة تطبيق UI/UX,2025-05-17,75.0,10.0,8,https://mostaql.com/project/1090843-%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-uiux,Mobile Development,تطوير الهاتف المحمول
30,برمجة نظام asp.net,2025-05-17,175.0,5.0,50,https://mostaql.com/project/1091012-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D9%86%D8%B8%D8%A7%D9%85-aspnet,DevOps,ديفوبس
31,إنشاء موقع وتطبيق إعلانات مبوبة (عقارات + سيارات),2025-05-17,1750.0,30.0,18,https://mostaql.com/project/1091089-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D9%88%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%A5%D8%B9%D9%84%D8%A7%D9%86%D8%A7%D8%AA-%D9%85%D8%A8%D9%88%D8%A8%D8%A9-%D8%B9%D9%82%D8%A7%D8%B1%D8%A7%D8%AA-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA,Mobile Development,تطوير الهاتف المحمول
32,مطوّر Next.js 15 محترف لمشروع ويب,2025-05-17,75.0,5.0,9,https://mostaql.com/project/1090832-%D9%85%D8%B7%D9%88%D8%B1-nextjs-15-%D9%85%D8%AD%D8%AA%D8%B1%D9%81-%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%88%D9%8A%D8%A8,Web Development,تطوير الويب
33,عمل منصة تعليمية تفاعلية,2025-05-17,75.0,2.0,28,https://mostaql.com/project/1090797-%D8%B9%D9%85%D9%84-%D9%85%D9%86%D8%B5%D8%A9-%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9-%D8%AA%D9%81%D8%A7%D8%B9%D9%84%D9%8A%D8%A9,Web Development,تطوير الويب
34,مطور تطبيقات للتعديل على سورس كود,2025-05-17,75.0,10.0,5,https://mostaql.com/project/1090997-%D9%85%D8%B7%D9%88%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82%D8%A7%D8%AA-%D9%84%D9%84%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D8%B9%D9%84%D9%89-%D8%B3%D9%88%D8%B1%D8%B3-%D9%83%D9%88%D8%AF,Web Development,تطوير الويب
35,عمل واجهة برمجية لملف إكسل,2025-05-17,37.5,2.0,4,https://mostaql.com/project/1090829-%D8%B9%D9%85%D9%84-%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D8%A8%D8%B1%D9%85%D8%AC%D9%8A%D8%A9-%D9%84%D9%85%D9%84%D9%81-%D8%A5%D9%83%D8%B3%D9%84,Data Engineering,هندسة البيانات
36,إنشاء موقع إلكتروني,2025-05-17,750.0,30.0,5,https://mostaql.com/project/1090944-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A,Web Development,تطوير الويب
37,مبرمج flutter للعمل على واجهة تطبيق إلكتروني,2025-05-17,75.0,10.0,21,https://mostaql.com/project/1090953-%D9%85%D8%A8%D8%B1%D9%85%D8%AC-flutter-%D9%84%D9%84%D8%B9%D9%85%D9%84-%D8%B9%D9%84%D9%89-%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A,Data Analysis,تحليل البيانات
38,أتمتة في المايكروسوفت باستخدام Power automate,2025-05-17,37.5,5.0,23,https://mostaql.com/project/1090969-%D8%A3%D8%AA%D9%85%D8%AA%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%A7%D9%8A%D9%83%D8%B1%D9%88%D8%B3%D9%88%D9%81%D8%AA-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-power-automate,Artificial Intelligence,الذكاء الاصطناعي
39,تنفيذ موقع لشركة تعمل في مجال توفير الرعاية المنزلية,2025-05-17,750.0,10.0,34,https://mostaql.com/project/1091004-%D8%AA%D9%86%D9%81%D9%8A%D8%B0-%D9%85%D9%88%D9%82%D8%B9-%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D8%AA%D8%B9%D9%85%D9%84-%D9%81%D9%8A-%D9%85%D8%AC%D8%A7%D9%84-%D8%AA%D9%88%D9%81%D9%8A%D8%B1-%D8%A7%D9%84%D8%B1%D8%B9%D8%A7%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D9%86%D8%B2%D9%84%D9%8A%D8%A9,Web Development,تطوير الويب
40,تصميم قوالب بريد إلكتروني إحترافية,2025-05-17,37.5,3.0,7,https://mostaql.com/project/1090941-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%82%D9%88%D8%A7%D9%84%D8%A8-%D8%A8%D8%B1%D9%8A%D8%AF-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D8%A5%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A%D8%A9,Web Development,تطوير الويب
41,إنشاء تطبيق شات صوتي,2025-05-17,375.0,15.0,2,https://mostaql.com/project/1090939-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%B4%D8%A7%D8%AA-%D8%B5%D9%88%D8%AA%D9%8A,Web Development,تطوير الويب
42,تركيب واجهة وعمل البرمجة الداخلية,2025-05-17,75.0,20.0,12,https://mostaql.com/project/1091005-%D8%AA%D8%B1%D9%83%D9%8A%D8%A8-%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D9%88%D8%B9%D9%85%D9%84-%D8%A7%D9%84%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D8%A7%D9%84%D8%AF%D8%A7%D8%AE%D9%84%D9%8A%D8%A9,Web Development,تطوير الويب
43,مبرمج ويب محترف لبناء موقع لمعهد تكنولوجيا,2025-05-17,1750.0,1.0,25,https://mostaql.com/project/1091131-%D9%85%D8%A8%D8%B1%D9%85%D8%AC-%D9%88%D9%8A%D8%A8-%D9%85%D8%AD%D8%AA%D8%B1%D9%81-%D9%84%D8%A8%D9%86%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D9%84%D9%85%D8%B9%D9%87%D8%AF-%D8%AA%D9%83%D9%86%D9%88%D9%84%D9%88%D8%AC%D9%8A%D8%A7,Web Development,تطوير الويب
44,مصمم مبدع لمتجر,2025-05-17,175.0,2.0,17,https://mostaql.com/project/1091001-%D9%85%D8%B5%D9%85%D9%85-%D9%85%D8%A8%D8%AF%D8%B9-%D9%84%D9%85%D8%AA%D8%AC%D8%B1,UI/UX and Graphic Design,واجهة المستخدم/UX وتصميم الجرافيك
45,خبير في تدريب البرمجة للأطفال,2025-05-17,37.5,5.0,3,https://mostaql.com/project/1091088-%D8%AE%D8%A8%D9%8A%D8%B1-%D9%81%D9%8A-%D8%AA%D8%AF%D8%B1%D9%8A%D8%A8-%D8%A7%D9%84%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D9%84%D9%84%D8%A3%D8%B7%D9%81%D8%A7%D9%84,Web Development,تطوير الويب
46,المساعدة بشراء موقع وتطبيق تجارة إلكترونية مع تخصيصه,2025-05-17,750.0,7.0,21,https://mostaql.com/project/1090672-%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%B9%D8%AF%D8%A9-%D8%A8%D8%B4%D8%B1%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D9%88%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%85%D8%B9-%D8%AA%D8%AE%D8%B5%D9%8A%D8%B5%D9%87,Mobile Development,تطوير الهاتف المحمول
47,برمجة بوت حجز webook,2025-05-17,37.5,1.0,14,https://mostaql.com/project/1090979-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D8%A8%D9%88%D8%AA-%D8%AD%D8%AC%D8%B2-webook,Networking,الشبكات
48,مصمم موقع على منصة سلة,2025-05-17,375.0,5.0,2,https://mostaql.com/project/1090930-%D9%85%D8%B5%D9%85%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%B9%D9%84%D9%89-%D9%85%D9%86%D8%B5%D8%A9-%D8%B3%D9%84%D8%A9,Web Development,تطوير الويب
49,تثبيت تطبيق على جوجل بلاي وآب ستور والسيرفر,2025-05-17,175.0,2.0,5,https://mostaql.com/project/1090814-%D8%AA%D8%AB%D8%A8%D9%8A%D8%AA-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%B9%D9%84%D9%89-%D8%AC%D9%88%D8%AC%D9%84-%D8%A8%D9%84%D8%A7%D9%8A-%D9%88%D8%A2%D8%A8-%D8%B3%D8%AA%D9%88%D8%B1-%D9%88%D8%A7%D9%84%D8%B3%D9%8A%D8%B1%D9%81%D8%B1,Networking,الشبكات
50,فك حظر موقع إلكتروني داخل السعودية دون تغيير النطاق أو توجيه الزوار,2025-05-17,37.5,1.0,8,https://mostaql.com/project/1090751-%D9%81%D9%83-%D8%AD%D8%B8%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D8%AF%D8%A7%D8%AE%D9%84-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D8%AF%D9%88%D9%86-%D8%AA%D8%BA%D9%8A%D9%8A%D8%B1-%D8%A7%D9%84%D9%86%D8%B7%D8%A7%D9%82-%D8%A3%D9%88-%D8%AA%D9%88%D8%AC%D9%8A%D9%87-%D8%A7%D9%84%D8%B2%D9%88%D8%A7%D8%B1,Web Development,تطوير الويب
51,بناء موقع ووردبريس لنشاط مؤسسة,2025-05-16,75.0,3.0,5,https://mostaql.com/project/1090737-%D8%A8%D9%86%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D9%88%D9%88%D8%B1%D8%AF%D8%A8%D8%B1%D9%8A%D8%B3-%D9%84%D9%86%D8%B4%D8%A7%D8%B7-%D9%85%D8%A4%D8%B3%D8%B3%D8%A9,Web Development,تطوير الويب
52,تصميم إحترافي لمتجر سلة,2025-05-16,750.0,7.0,16,https://mostaql.com/project/1090781-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%A5%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D9%84%D9%85%D8%AA%D8%AC%D8%B1-%D8%B3%D9%84%D8%A9,Web Development,تطوير الويب
53,مبرمج بشكل شهري لدعم فني موقع,2025-05-16,175.0,30.0,14,https://mostaql.com/project/1090736-%D9%85%D8%A8%D8%B1%D9%85%D8%AC-%D8%A8%D8%B4%D9%83%D9%84-%D8%B4%D9%87%D8%B1%D9%8A-%D9%84%D8%AF%D8%B9%D9%85-%D9%81%D9%86%D9%8A-%D9%85%D9%88%D9%82%D8%B9,Web Development,تطوير الويب
54,إنشاء موقع إلكتروني لشركة إستثمارية,2025-05-16,375.0,10.0,7,https://mostaql.com/project/1090675-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D8%A5%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1%D9%8A%D8%A9,Web Development,تطوير الويب
55,منصة كورسات تعليمية,2025-05-16,750.0,5.0,15,https://mostaql.com/project/1090704-%D9%85%D9%86%D8%B5%D8%A9-%D9%83%D9%88%D8%B1%D8%B3%D8%A7%D8%AA-%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9,Web Development,تطوير الويب
56,مطور أندرويد للعمل على مشروع,2025-05-16,375.0,20.0,20,https://mostaql.com/project/1090779-%D9%85%D8%B7%D9%88%D8%B1-%D8%A3%D9%86%D8%AF%D8%B1%D9%88%D9%8A%D8%AF-%D9%84%D9%84%D8%B9%D9%85%D9%84-%D8%B9%D9%84%D9%89-%D9%85%D8%B4%D8%B1%D9%88%D8%B9,Web Development,تطوير الويب
57,تطوير لتطبيق مبتكر في مجال تعليم,2025-05-16,1750.0,45.0,9,https://mostaql.com/project/1090411-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%84%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%85%D8%A8%D8%AA%D9%83%D8%B1-%D9%81%D9%8A-%D9%85%D8%AC%D8%A7%D9%84-%D8%AA%D8%B9%D9%84%D9%8A%D9%85,Mobile Development,تطوير الهاتف المحمول
