Title,Link,client name,Type,Budget,Category,Date Posted
شاشة حجز مواعيد (Appointment Booking UI),https://www.freelanceyard.com/en/jobs/shash-hgz-moaaayd-appointment-booking-ui,Basant ,Individual,Budget: 100 EGP,(IT & Tech),Posted at: 29-04-2025
شاشة شات بسيطة (Chat UI),https://www.freelanceyard.com/en/jobs/shash-shat-bsyt-chat-ui-1,Basant ,Individual,Budget: 100 EGP,(IT & Tech),Posted at: 29-04-2025
شاشة شات بسيطة (Chat UI),https://www.freelanceyard.com/en/jobs/shash-shat-bsyt-chat-ui,Basant ,Individual,Budget: 100 EGP,(IT & Tech),Posted at: 29-04-2025
تطبيق تتبع العادات (Habit Tracker UI),https://www.freelanceyard.com/en/jobs/ttbyk-ttbaa-alaaadat-habit-tracker-ui,Basant ,Individual,Budget: 100 EGP,(IT & Tech),Posted at: 29-04-2025
تطبيق وصفات طبخ (Recipe App UI),https://www.freelanceyard.com/en/jobs/ttbyk-osfat-tbkh-recipe-app-ui,Basant ,Individual,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
صفحة تواصل معنا (Contact Us Page),https://www.freelanceyard.com/en/jobs/sfh-toasl-maana-contact-us-page,Basant ,Individual,Budget: 100 EGP,(IT & Tech),Posted at: 29-04-2025
مطلوب مصمم ومطور مواقع مبتدئ لإنشاء موقع بسيط متعدد الصفحات,https://www.freelanceyard.com/en/jobs/mtlob-msmm-omtor-moakaa-mbtdy-lanshaaa-mokaa-bsyt-mtaadd-alsfhat,Codenox Technology ,Startup,Budget: 10 - 11 USD,(IT & Tech),Posted at: 29-04-2025
شاشة (To-Do List App UI),https://www.freelanceyard.com/en/jobs/shash-to-do-list-app-ui,Basant ,Individual,Budget: 150 EGP,(IT & Tech),Posted at: 29-04-2025
"Contact us via our form, which includes a map. ",https://www.freelanceyard.com/en/jobs/contact-us-via-our-form-which-includes-a-map-4,EchoGlobal ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
Recipe page ,https://www.freelanceyard.com/en/jobs/recipe-page-41,COMMERGENT ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
Designing product cards. ,https://www.freelanceyard.com/en/jobs/designing-product-cards-3,COMMERGENT ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
Designing product cards. ,https://www.freelanceyard.com/en/jobs/designing-product-cards-2,Codezilla SRL ,Corporate,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
"Contact us via our form, which includes a map. ",https://www.freelanceyard.com/en/jobs/contact-us-via-our-form-which-includes-a-map-3,Codezilla SRL ,Corporate,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
شاشة منتجات (E-Commerce Product List),https://www.freelanceyard.com/en/jobs/shash-mntgat-e-commerce-product-list,Basant ,Individual,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
شاشة منتجات لتطبيق تسوق (E-Commerce Product List),https://www.freelanceyard.com/en/jobs/shash-mntgat-lttbyk-tsok-e-commerce-product-list,Basant ,Individual,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
شاشة قائمة مهام (To-Do List App UI),https://www.freelanceyard.com/en/jobs/shash-kaym-mham-to-do-list-app-ui,Basant ,Individual,Budget: 150 EGP,(IT & Tech),Posted at: 29-04-2025
مطلوب مصمم ومطور مواقع مبتدئ لإنشاء موقع بسيط متعدد الصفحات,https://www.freelanceyard.com/en/jobs/mtlob-msmm-omtor-moakaa-mbtdy-lanshaaa-mokaa-bsyt-mtaadd-alsfhat,Codenox Technology ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
Design essential screens with mobile layouts first. ,https://www.freelanceyard.com/en/jobs/design-essential-screens-with-mobile-layouts-first-4,zenvertising ,Startup,Budget: 10 USD,(IT & Tech),Posted at: 29-04-2025
"Create the homepage, including its hero section. ",https://www.freelanceyard.com/en/jobs/create-the-homepage-including-its-hero-section-8,zenvertising ,Startup,Budget: 12 USD,(IT & Tech),Posted at: 29-04-2025
Complete the user interface's accessible and refined elements. ,https://www.freelanceyard.com/en/jobs/complete-the-user-interfaces-accessible-and-refined-elements-5,zenvertising ,Startup,Budget: 11 USD,(IT & Tech),Posted at: 29-04-2025
"Create the homepage, including its hero section. ",https://www.freelanceyard.com/en/jobs/create-the-homepage-including-its-hero-section-7,Tuio ,Startup,Budget: 12 USD,(IT & Tech),Posted at: 29-04-2025
Complete the user interface's accessible and refined elements. ,https://www.freelanceyard.com/en/jobs/complete-the-user-interfaces-accessible-and-refined-elements-4,Tuio ,Startup,Budget: 11 USD,(IT & Tech),Posted at: 29-04-2025
Design flaws and missing pages. ,https://www.freelanceyard.com/en/jobs/design-flaws-and-missing-pages-7,Tuio ,Startup,Budget: 10 USD,(IT & Tech),Posted at: 29-04-2025
Landing page designed for responsiveness ,https://www.freelanceyard.com/en/jobs/landing-page-designed-for-responsiveness-3,Brain 4 Strategy ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
Enable or disable dark mode. ,https://www.freelanceyard.com/en/jobs/enable-or-disable-dark-mode-3,Born Digital ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
"Contact us via our form, which includes a map. ",https://www.freelanceyard.com/en/jobs/contact-us-via-our-form-which-includes-a-map-2,Bonnie & Clyde Advertising Studio ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
The webpage could not be found. ,https://www.freelanceyard.com/en/jobs/the-webpage-could-not-be-found-3,Bonnie & Clyde Advertising Studio ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
Design flaws and missing pages. ,https://www.freelanceyard.com/en/jobs/design-flaws-and-missing-pages-6,The Public Advisors ,Corporate,Budget: 13 USD,(IT & Tech),Posted at: 29-04-2025
Prioritize mobile design when creating key pages. ,https://www.freelanceyard.com/en/jobs/prioritize-mobile-design-when-creating-key-pages-3,Studio Metz ,Startup,Budget: 13 USD,(IT & Tech),Posted at: 29-04-2025
Develop a brand and style guide for TravelSure. ,https://www.freelanceyard.com/en/jobs/develop-a-brand-and-style-guide-for-travelsure-2,Studio Metz ,Startup,Budget: 14 USD,(IT & Tech),Posted at: 29-04-2025
Complete the user interface's accessible and refined elements. ,https://www.freelanceyard.com/en/jobs/complete-the-user-interfaces-accessible-and-refined-elements-1,Studio Metz ,Startup,Budget: 13 USD,(IT & Tech),Posted at: 29-04-2025
Design flaws and missing pages. ,https://www.freelanceyard.com/en/jobs/design-flaws-and-missing-pages-5,Solveita ,Startup,Budget: 10 USD,(IT & Tech),Posted at: 29-04-2025
Design the layout for user account creation and profile settings. ,https://www.freelanceyard.com/en/jobs/design-the-layout-for-user-account-creation-and-profile-settings-2,Tuio ,Startup,Budget: 10 USD,(IT & Tech),Posted at: 29-04-2025
Containerizing a simple application (Docker) ,https://www.freelanceyard.com/en/jobs/containerizing-a-simple-application-docker,The Public Advisors ,Corporate,Budget: 13 USD,(IT & Tech),Posted at: 29-04-2025
Complete the user interface's accessible and refined elements. ,https://www.freelanceyard.com/en/jobs/complete-the-user-interfaces-accessible-and-refined-elements-3,The Public Advisors ,Corporate,Budget: 13 USD,(IT & Tech),Posted at: 29-04-2025
Complete the user interface's accessible and refined elements. ,https://www.freelanceyard.com/en/jobs/complete-the-user-interfaces-accessible-and-refined-elements-2,The Public Advisors ,Corporate,Budget: 13 USD,(IT & Tech),Posted at: 29-04-2025
Design essential screens with mobile layouts first. ,https://www.freelanceyard.com/en/jobs/design-essential-screens-with-mobile-layouts-first-3,The Public Advisors ,Corporate,Budget: 10 USD,(IT & Tech),Posted at: 29-04-2025
Create the design for user accounts and rented books. ,https://www.freelanceyard.com/en/jobs/create-the-design-for-user-accounts-and-rented-books-1,Revolution Media ,Startup,Budget: 13 USD,(IT & Tech),Posted at: 29-04-2025
Develop an administrative dashboard. ,https://www.freelanceyard.com/en/jobs/develop-an-administrative-dashboard-3,Revolution Media ,Startup,Budget: 13 USD,(IT & Tech),Posted at: 29-04-2025
Layout for product listings and filters in crafting. ,https://www.freelanceyard.com/en/jobs/layout-for-product-listings-and-filters-in-crafting-3,MONARK IT ,Startup,Budget: 10 USD,(IT & Tech),Posted at: 29-04-2025
Create an admin dashboard UI. ,https://www.freelanceyard.com/en/jobs/create-an-admin-dashboard-ui-3,MONARK IT ,Startup,Budget: 10 USD,(IT & Tech),Posted at: 29-04-2025
Create the designs for the checkout and confirmation screens. ,https://www.freelanceyard.com/en/jobs/create-the-designs-for-the-checkout-and-confirmation-screens-2,MONARK IT ,Startup,Budget: 10 USD,(IT & Tech),Posted at: 29-04-2025
Design flaws and missing pages. ,https://www.freelanceyard.com/en/jobs/design-flaws-and-missing-pages-4,Solveita ,Startup,Budget: 10 USD,(IT & Tech),Posted at: 29-04-2025
"Create the homepage, including its hero section. ",https://www.freelanceyard.com/en/jobs/create-the-homepage-including-its-hero-section-6,Solveita ,Startup,Budget: 14 USD,(IT & Tech),Posted at: 29-04-2025
Understanding basic logging ,https://www.freelanceyard.com/en/jobs/understanding-basic-logging,Revolution Media ,Startup,Budget: 11 USD,(IT & Tech),Posted at: 29-04-2025
Create the design for user accounts and rented books. ,https://www.freelanceyard.com/en/jobs/create-the-design-for-user-accounts-and-rented-books-2,Revolution Media ,Startup,Budget: 13 USD,(IT & Tech),Posted at: 29-04-2025
Design a book catalog and search interface. ,https://www.freelanceyard.com/en/jobs/design-a-book-catalog-and-search-interface-3,Revolution Media ,Startup,Budget: 13 USD,(IT & Tech),Posted at: 29-04-2025
Basic Git usage ,https://www.freelanceyard.com/en/jobs/basic-git-usage,Marketing Deck ,Startup,Budget: 12 USD,(IT & Tech),Posted at: 29-04-2025
Complete the user interface's accessible and refined elements. ,https://www.freelanceyard.com/en/jobs/complete-the-user-interfaces-accessible-and-refined-elements,Marketing Deck ,Startup,Budget: 11 USD,(IT & Tech),Posted at: 29-04-2025
"Create the homepage, including its hero section. ",https://www.freelanceyard.com/en/jobs/create-the-homepage-including-its-hero-section-5,Marketing Deck ,Startup,Budget: 14 USD,(IT & Tech),Posted at: 29-04-2025
Layout for product listings and filters in crafting. ,https://www.freelanceyard.com/en/jobs/layout-for-product-listings-and-filters-in-crafting-2,Marketing Deck ,Startup,Budget: 10 USD,(IT & Tech),Posted at: 29-04-2025
Design flaws and missing pages. ,https://www.freelanceyard.com/en/jobs/design-flaws-and-missing-pages-3,Marketing Deck ,Startup,Budget: 10 USD,(IT & Tech),Posted at: 29-04-2025
Implementing a basic CI/CD pipeline (local) ,https://www.freelanceyard.com/en/jobs/implementing-a-basic-cicd-pipeline-local,Minio Studio ,Startup,Budget: 15 USD,(IT & Tech),Posted at: 29-04-2025
Create checkout and rental confirmation screens. ,https://www.freelanceyard.com/en/jobs/create-checkout-and-rental-confirmation-screens-2,Minio Studio ,Startup,Budget: 13 USD,(IT & Tech),Posted at: 29-04-2025
Develop an administrative dashboard. ,https://www.freelanceyard.com/en/jobs/develop-an-administrative-dashboard-2,Minio Studio ,Startup,Budget: 13 USD,(IT & Tech),Posted at: 29-04-2025
Prioritize mobile design when creating key pages. ,https://www.freelanceyard.com/en/jobs/prioritize-mobile-design-when-creating-key-pages-2,Minio Studio ,Startup,Budget: 13 USD,(IT & Tech),Posted at: 29-04-2025
Create a brand and style guide for Bookify. ,https://www.freelanceyard.com/en/jobs/create-a-brand-and-style-guide-for-bookify-2,Minio Studio ,Startup,Budget: 12 USD,(IT & Tech),Posted at: 29-04-2025
Basic Git usage ,https://www.freelanceyard.com/en/jobs/basic-git-usage,EchoGlobal ,Startup,Budget: 14 USD,(IT & Tech),Posted at: 29-04-2025
Portfolio,https://www.freelanceyard.com/en/jobs/portfolio-1,solutions ,Startup,Budget: 5 - 10 USD,(IT & Tech),Posted at: 28-04-2025
Royal Shine Website,https://www.freelanceyard.com/en/jobs/royal-shine-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
The webpage could not be found. ,https://www.freelanceyard.com/en/jobs/the-webpage-could-not-be-found-2,zenvertising ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 28-04-2025
Huroof Gallery Webosite,https://www.freelanceyard.com/en/jobs/huroof-gallery-webosite,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Design flaws and missing pages. ,https://www.freelanceyard.com/en/jobs/design-flaws-and-missing-pages-2,Intent 3D ,Startup,Budget: 13 USD,(IT & Tech),Posted at: 29-04-2025
Create an admin dashboard UI. ,https://www.freelanceyard.com/en/jobs/create-an-admin-dashboard-ui-2,Intent 3D ,Startup,Budget: 10 USD,(IT & Tech),Posted at: 29-04-2025
Design mockups of a shopping cart page. ,https://www.freelanceyard.com/en/jobs/design-mockups-of-a-shopping-cart-page-1,Intent 3D ,Startup,Budget: 10 USD,(IT & Tech),Posted at: 29-04-2025
Design essential screens with mobile layouts first. ,https://www.freelanceyard.com/en/jobs/design-essential-screens-with-mobile-layouts-first-2,Intent 3D ,Startup,Budget: 10 USD,(IT & Tech),Posted at: 29-04-2025
Design the layout for user account creation and profile settings. ,https://www.freelanceyard.com/en/jobs/design-the-layout-for-user-account-creation-and-profile-settings-1,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Traditional Perfumery Website,https://www.freelanceyard.com/en/jobs/traditional-perfumery-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
The webpage could not be found. ,https://www.freelanceyard.com/en/jobs/the-webpage-could-not-be-found-1,The Public Advisors ,Corporate,Budget: 5 USD,(IT & Tech),Posted at: 28-04-2025
Home Installation Service Website,https://www.freelanceyard.com/en/jobs/home-installation-service-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Calligraphy Art Studio Website,https://www.freelanceyard.com/en/jobs/calligraphy-art-studio-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Car Detailing Service Website,https://www.freelanceyard.com/en/jobs/car-detailing-service-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Future LiTech Website,https://www.freelanceyard.com/en/jobs/future-litech-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Price Misk Website,https://www.freelanceyard.com/en/jobs/price-misk-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Enable or disable dark mode. ,https://www.freelanceyard.com/en/jobs/enable-or-disable-dark-mode-2,Tuio ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 28-04-2025
Sahara Xpeditions Website,https://www.freelanceyard.com/en/jobs/sahara-xpeditions-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Tourism Website,https://www.freelanceyard.com/en/jobs/care-clinic-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Luxe Interiors Website,https://www.freelanceyard.com/en/jobs/luxe-interiors-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
GreenShine Cleaning Website,https://www.freelanceyard.com/en/jobs/greenshine-cleaning-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Planning Agency Website,https://www.freelanceyard.com/en/jobs/planning-agency-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Enable or disable dark mode. ,https://www.freelanceyard.com/en/jobs/enable-or-disable-dark-mode-1,Revolution Media ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 28-04-2025
Repair Shop Website,https://www.freelanceyard.com/en/jobs/repair-shop-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
EverAfter Events Website,https://www.freelanceyard.com/en/jobs/everafter-events-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
"Contact us via our form, which includes a map. ",https://www.freelanceyard.com/en/jobs/contact-us-via-our-form-which-includes-a-map-1,Studio Metz ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 28-04-2025
FixIt Website,https://www.freelanceyard.com/en/jobs/fixit-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
The webpage could not be found. ,https://www.freelanceyard.com/en/jobs/the-webpage-could-not-be-found,MONARK IT ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 28-04-2025
Little Explorers Website,https://www.freelanceyard.com/en/jobs/little-explorers-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Designing product cards. ,https://www.freelanceyard.com/en/jobs/designing-product-cards,Minio Studio ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 28-04-2025
Partners Law Firm Website,https://www.freelanceyard.com/en/jobs/partners-law-firm-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Oasis Fit Website,https://www.freelanceyard.com/en/jobs/oasis-fit-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Landing page designed for responsiveness ,https://www.freelanceyard.com/en/jobs/landing-page-designed-for-responsiveness-2,Marketing Deck ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 28-04-2025
Noora Cosmetics Website,https://www.freelanceyard.com/en/jobs/noora-cosmetics-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Veterinary Clinic Website,https://www.freelanceyard.com/en/jobs/veterinary-clinic-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Interior Design Studio Website,https://www.freelanceyard.com/en/jobs/interior-design-studio-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Home Cleaning Service Website,https://www.freelanceyard.com/en/jobs/home-cleaning-service-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Designing product cards. ,https://www.freelanceyard.com/en/jobs/designing-product-cards-1,MONARK IT ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 28-04-2025
Enable or disable dark mode. ,https://www.freelanceyard.com/en/jobs/enable-or-disable-dark-mode,High Contrast ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 28-04-2025
Recipe page ,https://www.freelanceyard.com/en/jobs/recipe-page-40,High Contrast ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 28-04-2025
Wellness Center Website,https://www.freelanceyard.com/en/jobs/wellness-center-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Recipe page ,https://www.freelanceyard.com/en/jobs/recipe-page-39,Hariga Advertising ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 28-04-2025
Luxury Skincare Website,https://www.freelanceyard.com/en/jobs/luxury-skincare-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Desert Bloom Website,https://www.freelanceyard.com/en/jobs/desert-bloom-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Toy Store Website,https://www.freelanceyard.com/en/jobs/toy-store-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
"Contact us via our form, which includes a map. ",https://www.freelanceyard.com/en/jobs/contact-us-via-our-form-which-includes-a-map,Intent 3D ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 28-04-2025
Law Firm Website,https://www.freelanceyard.com/en/jobs/law-firm-website,Zenith Solutions ,Startup,Budget: 200 EGP,(IT & Tech),Posted at: 28-04-2025
Landing page designed for responsiveness ,https://www.freelanceyard.com/en/jobs/landing-page-designed-for-responsiveness-1,Intent 3D ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 28-04-2025
Enable or disable dark mode. ,https://www.freelanceyard.com/en/jobs/enable-or-disable-dark-mode,High Contrast ,Startup,Budget: 11 USD,(IT & Tech),Posted at: 28-04-2025
Task: Monitoring basic server metrics ,https://www.freelanceyard.com/en/jobs/task-monitoring-basic-server-metrics,High Contrast ,Startup,Budget: 15 USD,(IT & Tech),Posted at: 28-04-2025
Develop an administrative dashboard. ,https://www.freelanceyard.com/en/jobs/develop-an-administrative-dashboard-1,High Contrast ,Startup,Budget: 13 USD,(IT & Tech),Posted at: 28-04-2025
"Create the homepage, including its hero section. ",https://www.freelanceyard.com/en/jobs/create-the-homepage-including-its-hero-section-4,High Contrast ,Startup,Budget: 10 USD,(IT & Tech),Posted at: 28-04-2025
Create an admin dashboard UI. ,https://www.freelanceyard.com/en/jobs/create-an-admin-dashboard-ui-1,High Contrast ,Startup,Budget: 10 USD,(IT & Tech),Posted at: 28-04-2025
Modern Restaurant Website,https://www.freelanceyard.com/en/jobs/modern-restaurant-website,Zenith Solutions ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 28-04-2025
Landing page designed for responsiveness ,https://www.freelanceyard.com/en/jobs/landing-page-designed-for-responsiveness,Flowr Agency ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 28-04-2025
