ID,Title,Link,client name,Type,Budget,Category,Date Posted
36,تطبيق تتبع العادات (Habit Tracker UI),https://www.freelanceyard.com/en/jobs/ttbyk-ttbaa-alaaadat-habit-tracker-ui,Basant ,Individual,3.2,IT & Tech,2025-04-29
37,تطبيق وصفات طبخ (Recipe App UI),https://www.freelanceyard.com/en/jobs/ttbyk-osfat-tbkh-recipe-app-ui,Basant ,Individual,5.0,IT & Tech,2025-04-29
38,صفحة تواصل معنا (Contact Us Page),https://www.freelanceyard.com/en/jobs/sfh-toasl-maana-contact-us-page,Basant ,Individual,3.2,IT & Tech,2025-04-29
39,مطلوب مصمم ومطور مواقع مبتدئ لإنشاء موقع بسيط متعدد الصفحات,https://www.freelanceyard.com/en/jobs/mtlob-msmm-omtor-moakaa-mbtdy-lanshaaa-mokaa-bsyt-mtaadd-alsfhat,Codenox Technology ,Startup,10.5,IT & Tech,2025-04-29
40,شاشة (To-Do List App UI),https://www.freelanceyard.com/en/jobs/shash-to-do-list-app-ui,Basant ,Individual,4.8,IT & Tech,2025-04-29
41,"Contact us via our form, which includes a map. ",https://www.freelanceyard.com/en/jobs/contact-us-via-our-form-which-includes-a-map-4,EchoGlobal ,Startup,5.0,IT & Tech,2025-04-29
42,Recipe page ,https://www.freelanceyard.com/en/jobs/recipe-page-41,COMMERGENT ,Startup,5.0,IT & Tech,2025-04-29
43,Designing product cards. ,https://www.freelanceyard.com/en/jobs/designing-product-cards-3,COMMERGENT ,Startup,5.0,IT & Tech,2025-04-29
44,Designing product cards. ,https://www.freelanceyard.com/en/jobs/designing-product-cards-2,Codezilla SRL ,Corporate,5.0,IT & Tech,2025-04-29
45,"Contact us via our form, which includes a map. ",https://www.freelanceyard.com/en/jobs/contact-us-via-our-form-which-includes-a-map-3,Codezilla SRL ,Corporate,5.0,IT & Tech,2025-04-29
46,شاشة منتجات (E-Commerce Product List),https://www.freelanceyard.com/en/jobs/shash-mntgat-e-commerce-product-list,Basant ,Individual,5.0,IT & Tech,2025-04-29
47,شاشة منتجات لتطبيق تسوق (E-Commerce Product List),https://www.freelanceyard.com/en/jobs/shash-mntgat-lttbyk-tsok-e-commerce-product-list,Basant ,Individual,5.0,IT & Tech,2025-04-29
48,شاشة قائمة مهام (To-Do List App UI),https://www.freelanceyard.com/en/jobs/shash-kaym-mham-to-do-list-app-ui,Basant ,Individual,4.8,IT & Tech,2025-04-29
49,مطلوب مصمم ومطور مواقع مبتدئ لإنشاء موقع بسيط متعدد الصفحات,https://www.freelanceyard.com/en/jobs/mtlob-msmm-omtor-moakaa-mbtdy-lanshaaa-mokaa-bsyt-mtaadd-alsfhat,Codenox Technology ,Startup,5.0,IT & Tech,2025-04-29
50,Design essential screens with mobile layouts first. ,https://www.freelanceyard.com/en/jobs/design-essential-screens-with-mobile-layouts-first-4,zenvertising ,Startup,10.0,IT & Tech,2025-04-29
51,"Create the homepage, including its hero section. ",https://www.freelanceyard.com/en/jobs/create-the-homepage-including-its-hero-section-8,zenvertising ,Startup,12.0,IT & Tech,2025-04-29
52,Complete the user interface's accessible and refined elements. ,https://www.freelanceyard.com/en/jobs/complete-the-user-interfaces-accessible-and-refined-elements-5,zenvertising ,Startup,11.0,IT & Tech,2025-04-29
53,"Create the homepage, including its hero section. ",https://www.freelanceyard.com/en/jobs/create-the-homepage-including-its-hero-section-7,Tuio ,Startup,12.0,IT & Tech,2025-04-29
54,Complete the user interface's accessible and refined elements. ,https://www.freelanceyard.com/en/jobs/complete-the-user-interfaces-accessible-and-refined-elements-4,Tuio ,Startup,11.0,IT & Tech,2025-04-29
55,Design flaws and missing pages. ,https://www.freelanceyard.com/en/jobs/design-flaws-and-missing-pages-7,Tuio ,Startup,10.0,IT & Tech,2025-04-29
56,Landing page designed for responsiveness ,https://www.freelanceyard.com/en/jobs/landing-page-designed-for-responsiveness-3,Brain 4 Strategy ,Startup,5.0,IT & Tech,2025-04-29
57,Enable or disable dark mode. ,https://www.freelanceyard.com/en/jobs/enable-or-disable-dark-mode-3,Born Digital ,Startup,5.0,IT & Tech,2025-04-29
58,"Contact us via our form, which includes a map. ",https://www.freelanceyard.com/en/jobs/contact-us-via-our-form-which-includes-a-map-2,Bonnie & Clyde Advertising Studio ,Startup,5.0,IT & Tech,2025-04-29
59,The webpage could not be found. ,https://www.freelanceyard.com/en/jobs/the-webpage-could-not-be-found-3,Bonnie & Clyde Advertising Studio ,Startup,5.0,IT & Tech,2025-04-29
60,Design flaws and missing pages. ,https://www.freelanceyard.com/en/jobs/design-flaws-and-missing-pages-6,The Public Advisors ,Corporate,13.0,IT & Tech,2025-04-29
61,Prioritize mobile design when creating key pages. ,https://www.freelanceyard.com/en/jobs/prioritize-mobile-design-when-creating-key-pages-3,Studio Metz ,Startup,13.0,IT & Tech,2025-04-29
62,Develop a brand and style guide for TravelSure. ,https://www.freelanceyard.com/en/jobs/develop-a-brand-and-style-guide-for-travelsure-2,Studio Metz ,Startup,14.0,IT & Tech,2025-04-29
63,Complete the user interface's accessible and refined elements. ,https://www.freelanceyard.com/en/jobs/complete-the-user-interfaces-accessible-and-refined-elements-1,Studio Metz ,Startup,13.0,IT & Tech,2025-04-29
64,Design flaws and missing pages. ,https://www.freelanceyard.com/en/jobs/design-flaws-and-missing-pages-5,Solveita ,Startup,10.0,IT & Tech,2025-04-29
65,Design the layout for user account creation and profile settings. ,https://www.freelanceyard.com/en/jobs/design-the-layout-for-user-account-creation-and-profile-settings-2,Tuio ,Startup,10.0,IT & Tech,2025-04-29
66,Containerizing a simple application (Docker) ,https://www.freelanceyard.com/en/jobs/containerizing-a-simple-application-docker,The Public Advisors ,Corporate,13.0,IT & Tech,2025-04-29
67,Complete the user interface's accessible and refined elements. ,https://www.freelanceyard.com/en/jobs/complete-the-user-interfaces-accessible-and-refined-elements-3,The Public Advisors ,Corporate,13.0,IT & Tech,2025-04-29
68,Complete the user interface's accessible and refined elements. ,https://www.freelanceyard.com/en/jobs/complete-the-user-interfaces-accessible-and-refined-elements-2,The Public Advisors ,Corporate,13.0,IT & Tech,2025-04-29
69,Design essential screens with mobile layouts first. ,https://www.freelanceyard.com/en/jobs/design-essential-screens-with-mobile-layouts-first-3,The Public Advisors ,Corporate,10.0,IT & Tech,2025-04-29
70,Create the design for user accounts and rented books. ,https://www.freelanceyard.com/en/jobs/create-the-design-for-user-accounts-and-rented-books-1,Revolution Media ,Startup,13.0,IT & Tech,2025-04-29
71,Develop an administrative dashboard. ,https://www.freelanceyard.com/en/jobs/develop-an-administrative-dashboard-3,Revolution Media ,Startup,13.0,IT & Tech,2025-04-29
72,Layout for product listings and filters in crafting. ,https://www.freelanceyard.com/en/jobs/layout-for-product-listings-and-filters-in-crafting-3,MONARK IT ,Startup,10.0,IT & Tech,2025-04-29
73,Create an admin dashboard UI. ,https://www.freelanceyard.com/en/jobs/create-an-admin-dashboard-ui-3,MONARK IT ,Startup,10.0,IT & Tech,2025-04-29
74,Create the designs for the checkout and confirmation screens. ,https://www.freelanceyard.com/en/jobs/create-the-designs-for-the-checkout-and-confirmation-screens-2,MONARK IT ,Startup,10.0,IT & Tech,2025-04-29
75,Design flaws and missing pages. ,https://www.freelanceyard.com/en/jobs/design-flaws-and-missing-pages-4,Solveita ,Startup,10.0,IT & Tech,2025-04-29
76,"Create the homepage, including its hero section. ",https://www.freelanceyard.com/en/jobs/create-the-homepage-including-its-hero-section-6,Solveita ,Startup,14.0,IT & Tech,2025-04-29
77,Understanding basic logging ,https://www.freelanceyard.com/en/jobs/understanding-basic-logging,Revolution Media ,Startup,11.0,IT & Tech,2025-04-29
78,Create the design for user accounts and rented books. ,https://www.freelanceyard.com/en/jobs/create-the-design-for-user-accounts-and-rented-books-2,Revolution Media ,Startup,13.0,IT & Tech,2025-04-29
79,Design a book catalog and search interface. ,https://www.freelanceyard.com/en/jobs/design-a-book-catalog-and-search-interface-3,Revolution Media ,Startup,13.0,IT & Tech,2025-04-29
80,Basic Git usage ,https://www.freelanceyard.com/en/jobs/basic-git-usage,Marketing Deck ,Startup,12.0,IT & Tech,2025-04-29
81,Complete the user interface's accessible and refined elements. ,https://www.freelanceyard.com/en/jobs/complete-the-user-interfaces-accessible-and-refined-elements,Marketing Deck ,Startup,11.0,IT & Tech,2025-04-29
82,"Create the homepage, including its hero section. ",https://www.freelanceyard.com/en/jobs/create-the-homepage-including-its-hero-section-5,Marketing Deck ,Startup,14.0,IT & Tech,2025-04-29
83,Layout for product listings and filters in crafting. ,https://www.freelanceyard.com/en/jobs/layout-for-product-listings-and-filters-in-crafting-2,Marketing Deck ,Startup,10.0,IT & Tech,2025-04-29
84,Design flaws and missing pages. ,https://www.freelanceyard.com/en/jobs/design-flaws-and-missing-pages-3,Marketing Deck ,Startup,10.0,IT & Tech,2025-04-29
85,Implementing a basic CI/CD pipeline (local) ,https://www.freelanceyard.com/en/jobs/implementing-a-basic-cicd-pipeline-local,Minio Studio ,Startup,15.0,IT & Tech,2025-04-29
86,Create checkout and rental confirmation screens. ,https://www.freelanceyard.com/en/jobs/create-checkout-and-rental-confirmation-screens-2,Minio Studio ,Startup,13.0,IT & Tech,2025-04-29
87,Develop an administrative dashboard. ,https://www.freelanceyard.com/en/jobs/develop-an-administrative-dashboard-2,Minio Studio ,Startup,13.0,IT & Tech,2025-04-29
88,Prioritize mobile design when creating key pages. ,https://www.freelanceyard.com/en/jobs/prioritize-mobile-design-when-creating-key-pages-2,Minio Studio ,Startup,13.0,IT & Tech,2025-04-29
89,Create a brand and style guide for Bookify. ,https://www.freelanceyard.com/en/jobs/create-a-brand-and-style-guide-for-bookify-2,Minio Studio ,Startup,12.0,IT & Tech,2025-04-29
90,Basic Git usage ,https://www.freelanceyard.com/en/jobs/basic-git-usage,EchoGlobal ,Startup,14.0,IT & Tech,2025-04-29
91,Portfolio,https://www.freelanceyard.com/en/jobs/portfolio-1,solutions ,Startup,7.5,IT & Tech,2025-04-28
92,Royal Shine Website,https://www.freelanceyard.com/en/jobs/royal-shine-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
93,The webpage could not be found. ,https://www.freelanceyard.com/en/jobs/the-webpage-could-not-be-found-2,zenvertising ,Startup,5.0,IT & Tech,2025-04-28
94,Huroof Gallery Webosite,https://www.freelanceyard.com/en/jobs/huroof-gallery-webosite,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
95,Design flaws and missing pages. ,https://www.freelanceyard.com/en/jobs/design-flaws-and-missing-pages-2,Intent 3D ,Startup,13.0,IT & Tech,2025-04-29
96,Create an admin dashboard UI. ,https://www.freelanceyard.com/en/jobs/create-an-admin-dashboard-ui-2,Intent 3D ,Startup,10.0,IT & Tech,2025-04-29
97,Design mockups of a shopping cart page. ,https://www.freelanceyard.com/en/jobs/design-mockups-of-a-shopping-cart-page-1,Intent 3D ,Startup,10.0,IT & Tech,2025-04-29
98,Design essential screens with mobile layouts first. ,https://www.freelanceyard.com/en/jobs/design-essential-screens-with-mobile-layouts-first-2,Intent 3D ,Startup,10.0,IT & Tech,2025-04-29
99,Design the layout for user account creation and profile settings. ,https://www.freelanceyard.com/en/jobs/design-the-layout-for-user-account-creation-and-profile-settings-1,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
100,Traditional Perfumery Website,https://www.freelanceyard.com/en/jobs/traditional-perfumery-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
101,The webpage could not be found. ,https://www.freelanceyard.com/en/jobs/the-webpage-could-not-be-found-1,The Public Advisors ,Corporate,5.0,IT & Tech,2025-04-28
102,Home Installation Service Website,https://www.freelanceyard.com/en/jobs/home-installation-service-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
103,Calligraphy Art Studio Website,https://www.freelanceyard.com/en/jobs/calligraphy-art-studio-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
104,Car Detailing Service Website,https://www.freelanceyard.com/en/jobs/car-detailing-service-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
105,Future LiTech Website,https://www.freelanceyard.com/en/jobs/future-litech-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
106,Price Misk Website,https://www.freelanceyard.com/en/jobs/price-misk-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
107,Enable or disable dark mode. ,https://www.freelanceyard.com/en/jobs/enable-or-disable-dark-mode-2,Tuio ,Startup,5.0,IT & Tech,2025-04-28
108,Sahara Xpeditions Website,https://www.freelanceyard.com/en/jobs/sahara-xpeditions-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
109,Tourism Website,https://www.freelanceyard.com/en/jobs/care-clinic-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
110,Luxe Interiors Website,https://www.freelanceyard.com/en/jobs/luxe-interiors-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
111,GreenShine Cleaning Website,https://www.freelanceyard.com/en/jobs/greenshine-cleaning-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
112,Planning Agency Website,https://www.freelanceyard.com/en/jobs/planning-agency-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
113,Enable or disable dark mode. ,https://www.freelanceyard.com/en/jobs/enable-or-disable-dark-mode-1,Revolution Media ,Startup,5.0,IT & Tech,2025-04-28
114,Repair Shop Website,https://www.freelanceyard.com/en/jobs/repair-shop-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
115,EverAfter Events Website,https://www.freelanceyard.com/en/jobs/everafter-events-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
116,"Contact us via our form, which includes a map. ",https://www.freelanceyard.com/en/jobs/contact-us-via-our-form-which-includes-a-map-1,Studio Metz ,Startup,5.0,IT & Tech,2025-04-28
117,FixIt Website,https://www.freelanceyard.com/en/jobs/fixit-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
118,The webpage could not be found. ,https://www.freelanceyard.com/en/jobs/the-webpage-could-not-be-found,MONARK IT ,Startup,5.0,IT & Tech,2025-04-28
119,Little Explorers Website,https://www.freelanceyard.com/en/jobs/little-explorers-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
120,Designing product cards. ,https://www.freelanceyard.com/en/jobs/designing-product-cards,Minio Studio ,Startup,5.0,IT & Tech,2025-04-28
121,Partners Law Firm Website,https://www.freelanceyard.com/en/jobs/partners-law-firm-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
122,Oasis Fit Website,https://www.freelanceyard.com/en/jobs/oasis-fit-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
123,Landing page designed for responsiveness ,https://www.freelanceyard.com/en/jobs/landing-page-designed-for-responsiveness-2,Marketing Deck ,Startup,5.0,IT & Tech,2025-04-28
124,Noora Cosmetics Website,https://www.freelanceyard.com/en/jobs/noora-cosmetics-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
125,Veterinary Clinic Website,https://www.freelanceyard.com/en/jobs/veterinary-clinic-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
126,Interior Design Studio Website,https://www.freelanceyard.com/en/jobs/interior-design-studio-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
127,Home Cleaning Service Website,https://www.freelanceyard.com/en/jobs/home-cleaning-service-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
128,Designing product cards. ,https://www.freelanceyard.com/en/jobs/designing-product-cards-1,MONARK IT ,Startup,5.0,IT & Tech,2025-04-28
129,Enable or disable dark mode. ,https://www.freelanceyard.com/en/jobs/enable-or-disable-dark-mode,High Contrast ,Startup,5.0,IT & Tech,2025-04-28
130,Recipe page ,https://www.freelanceyard.com/en/jobs/recipe-page-40,High Contrast ,Startup,5.0,IT & Tech,2025-04-28
131,Wellness Center Website,https://www.freelanceyard.com/en/jobs/wellness-center-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
132,Recipe page ,https://www.freelanceyard.com/en/jobs/recipe-page-39,Hariga Advertising ,Startup,5.0,IT & Tech,2025-04-28
133,Luxury Skincare Website,https://www.freelanceyard.com/en/jobs/luxury-skincare-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
134,Desert Bloom Website,https://www.freelanceyard.com/en/jobs/desert-bloom-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
135,Toy Store Website,https://www.freelanceyard.com/en/jobs/toy-store-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
136,"Contact us via our form, which includes a map. ",https://www.freelanceyard.com/en/jobs/contact-us-via-our-form-which-includes-a-map,Intent 3D ,Startup,5.0,IT & Tech,2025-04-28
137,Law Firm Website,https://www.freelanceyard.com/en/jobs/law-firm-website,Zenith Solutions ,Startup,6.4,IT & Tech,2025-04-28
138,Landing page designed for responsiveness ,https://www.freelanceyard.com/en/jobs/landing-page-designed-for-responsiveness-1,Intent 3D ,Startup,5.0,IT & Tech,2025-04-28
139,Enable or disable dark mode. ,https://www.freelanceyard.com/en/jobs/enable-or-disable-dark-mode,High Contrast ,Startup,11.0,IT & Tech,2025-04-28
140,Task: Monitoring basic server metrics ,https://www.freelanceyard.com/en/jobs/task-monitoring-basic-server-metrics,High Contrast ,Startup,15.0,IT & Tech,2025-04-28
141,Develop an administrative dashboard. ,https://www.freelanceyard.com/en/jobs/develop-an-administrative-dashboard-1,High Contrast ,Startup,13.0,IT & Tech,2025-04-28
142,"Create the homepage, including its hero section. ",https://www.freelanceyard.com/en/jobs/create-the-homepage-including-its-hero-section-4,High Contrast ,Startup,10.0,IT & Tech,2025-04-28
143,Create an admin dashboard UI. ,https://www.freelanceyard.com/en/jobs/create-an-admin-dashboard-ui-1,High Contrast ,Startup,10.0,IT & Tech,2025-04-28
144,Modern Restaurant Website,https://www.freelanceyard.com/en/jobs/modern-restaurant-website,Zenith Solutions ,Startup,4.8,IT & Tech,2025-04-28
145,Landing page designed for responsiveness ,https://www.freelanceyard.com/en/jobs/landing-page-designed-for-responsiveness,Flowr Agency ,Startup,5.0,IT & Tech,2025-04-28
146,Recipe page ,https://www.freelanceyard.com/en/jobs/recipe-page-38,FelixCo ,Startup,5.0,IT & Tech,2025-04-28
147,Project Requirements Review,https://www.freelanceyard.com/en/jobs/project-requirements-review,Tech Dev ,Individual,7.2,IT & Tech,2025-04-28
148,Creating a simple bash script ,https://www.freelanceyard.com/en/jobs/creating-a-simple-bash-script,Flowr Agency ,Startup,13.0,IT & Tech,2025-04-28
149,Design mockups of a shopping cart page. ,https://www.freelanceyard.com/en/jobs/design-mockups-of-a-shopping-cart-page,Flowr Agency ,Startup,10.0,IT & Tech,2025-04-28
150,"Create the homepage, including its hero section. ",https://www.freelanceyard.com/en/jobs/create-the-homepage-including-its-hero-section-2,Flowr Agency ,Startup,12.0,IT & Tech,2025-04-28
151,Design a book catalog and search interface. ,https://www.freelanceyard.com/en/jobs/design-a-book-catalog-and-search-interface-2,FelixCo ,Startup,13.0,IT & Tech,2025-04-28
152,Layout for product listings and filters in crafting. ,https://www.freelanceyard.com/en/jobs/layout-for-product-listings-and-filters-in-crafting-1,FelixCo ,Startup,10.0,IT & Tech,2025-04-28
153,Create checkout and rental confirmation screens. ,https://www.freelanceyard.com/en/jobs/create-checkout-and-rental-confirmation-screens-1,FelixCo ,Startup,13.0,IT & Tech,2025-04-28
154,"Create the homepage, including its hero section. ",https://www.freelanceyard.com/en/jobs/create-the-homepage-including-its-hero-section-3,Hariga Advertising ,Startup,10.0,IT & Tech,2025-04-28
155,Design the layout for user account creation and profile settings. ,https://www.freelanceyard.com/en/jobs/design-the-layout-for-user-account-creation-and-profile-settings,Hariga Advertising ,Startup,10.0,IT & Tech,2025-04-28
156,Create a brand and style guide. ,https://www.freelanceyard.com/en/jobs/create-a-brand-and-style-guide-2,Hariga Advertising ,Startup,10.0,IT & Tech,2025-04-28
157,Develop a brand and style guide for TravelSure. ,https://www.freelanceyard.com/en/jobs/develop-a-brand-and-style-guide-for-travelsure-1,Hariga Advertising ,Startup,14.0,IT & Tech,2025-04-28
158,Develop an administrative dashboard. ,https://www.freelanceyard.com/en/jobs/develop-an-administrative-dashboard,Flowr Agency ,Startup,13.0,IT & Tech,2025-04-28
159,Create a webpage for renting baskets. ,https://www.freelanceyard.com/en/jobs/create-a-webpage-for-renting-baskets-1,COMMERGENT ,Startup,13.0,IT & Tech,2025-04-28
160,Design a book catalog and search interface. ,https://www.freelanceyard.com/en/jobs/design-a-book-catalog-and-search-interface,COMMERGENT ,Startup,13.0,IT & Tech,2025-04-28
161,Using SSH to connect to a remote server ,https://www.freelanceyard.com/en/jobs/using-ssh-to-connect-to-a-remote-server,Codezilla SRL ,Corporate,13.0,IT & Tech,2025-04-28
162,Create a brand and style guide for Bookify. ,https://www.freelanceyard.com/en/jobs/create-a-brand-and-style-guide-for-bookify-1,Codezilla SRL ,Corporate,12.0,IT & Tech,2025-04-28
163,Create the designs for the checkout and confirmation screens. ,https://www.freelanceyard.com/en/jobs/create-the-designs-for-the-checkout-and-confirmation-screens-1,EchoGlobal ,Startup,10.0,IT & Tech,2025-04-28
164,Design flaws and missing pages. ,https://www.freelanceyard.com/en/jobs/design-flaws-and-missing-pages-1,EchoGlobal ,Startup,13.0,IT & Tech,2025-04-28
165,Design a book catalog and search interface. ,https://www.freelanceyard.com/en/jobs/design-a-book-catalog-and-search-interface-1,EchoGlobal ,Startup,13.0,IT & Tech,2025-04-28
