ID,Title,Category_English,category_arabic,Posted,Avg offer,Duration(Days),Number of Offers,Tags,Tags_en,Link
3,سوق إلكتروني متخصص في بيع هدايا,Web Development,تطوير الويب,2025-05-02,"1,550.00 ",15.0,14,تطوير البرمجيات,Software development,https://mostaql.com/project/1080190-%D8%B3%D9%88%D9%82-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%81%D9%8A-%D8%A8%D9%8A%D8%B9-%D9%87%D8%AF%D8%A7%D9%8A%D8%A7
3,سوق إلكتروني متخصص في بيع هدايا,Web Development,تطوير الويب,2025-05-02,"1,550.00 ",15.0,14,برمجة مواقع,Site programming,https://mostaql.com/project/1080190-%D8%B3%D9%88%D9%82-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%81%D9%8A-%D8%A8%D9%8A%D8%B9-%D9%87%D8%AF%D8%A7%D9%8A%D8%A7
4,استكمال تنصيب وتهيئة Odoo Community على مساحة كلاود لمشروع متعدد الشركات,Web Development,تطوير الويب,2025-05-02,500.00 ,5.0,3,PostgreSQL,PostgreSQL,https://mostaql.com/project/1080213-%D8%A7%D8%B3%D8%AA%D9%83%D9%85%D8%A7%D9%84-%D8%AA%D9%86%D8%B5%D9%8A%D8%A8-%D9%88%D8%AA%D9%87%D9%8A%D8%A6%D8%A9-odoo-community-%D8%B9%D9%84%D9%89-%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D9%83%D9%84%D8%A7%D9%88%D8%AF-%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%B4%D8%B1%D9%83%D8%A7%D8%AA
4,استكمال تنصيب وتهيئة Odoo Community على مساحة كلاود لمشروع متعدد الشركات,Web Development,تطوير الويب,2025-05-02,500.00 ,5.0,3,برمجة,programming,https://mostaql.com/project/1080213-%D8%A7%D8%B3%D8%AA%D9%83%D9%85%D8%A7%D9%84-%D8%AA%D9%86%D8%B5%D9%8A%D8%A8-%D9%88%D8%AA%D9%87%D9%8A%D8%A6%D8%A9-odoo-community-%D8%B9%D9%84%D9%89-%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D9%83%D9%84%D8%A7%D9%88%D8%AF-%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%B4%D8%B1%D9%83%D8%A7%D8%AA
4,استكمال تنصيب وتهيئة Odoo Community على مساحة كلاود لمشروع متعدد الشركات,Web Development,تطوير الويب,2025-05-02,500.00 ,5.0,3,تطوير البرمجيات,Software development,https://mostaql.com/project/1080213-%D8%A7%D8%B3%D8%AA%D9%83%D9%85%D8%A7%D9%84-%D8%AA%D9%86%D8%B5%D9%8A%D8%A8-%D9%88%D8%AA%D9%87%D9%8A%D8%A6%D8%A9-odoo-community-%D8%B9%D9%84%D9%89-%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D9%83%D9%84%D8%A7%D9%88%D8%AF-%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%B4%D8%B1%D9%83%D8%A7%D8%AA
4,استكمال تنصيب وتهيئة Odoo Community على مساحة كلاود لمشروع متعدد الشركات,Web Development,تطوير الويب,2025-05-02,500.00 ,5.0,3,برمجة قواعد البيانات,Database programming,https://mostaql.com/project/1080213-%D8%A7%D8%B3%D8%AA%D9%83%D9%85%D8%A7%D9%84-%D8%AA%D9%86%D8%B5%D9%8A%D8%A8-%D9%88%D8%AA%D9%87%D9%8A%D8%A6%D8%A9-odoo-community-%D8%B9%D9%84%D9%89-%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D9%83%D9%84%D8%A7%D9%88%D8%AF-%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%B4%D8%B1%D9%83%D8%A7%D8%AA
4,استكمال تنصيب وتهيئة Odoo Community على مساحة كلاود لمشروع متعدد الشركات,Web Development,تطوير الويب,2025-05-02,500.00 ,5.0,3,أودو,Udo,https://mostaql.com/project/1080213-%D8%A7%D8%B3%D8%AA%D9%83%D9%85%D8%A7%D9%84-%D8%AA%D9%86%D8%B5%D9%8A%D8%A8-%D9%88%D8%AA%D9%87%D9%8A%D8%A6%D8%A9-odoo-community-%D8%B9%D9%84%D9%89-%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D9%83%D9%84%D8%A7%D9%88%D8%AF-%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%B4%D8%B1%D9%83%D8%A7%D8%AA
5,مشروع متعدد البائعين توصيل وتجارة إلكترونية وحجز سيارات,Web Development,تطوير الويب,2025-05-02,500.00 ,15.0,7,تصميم موقع إلكتروني,Design a website,https://mostaql.com/project/1080085-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%A8%D8%A7%D8%A6%D8%B9%D9%8A%D9%86-%D8%AA%D9%88%D8%B5%D9%8A%D9%84-%D9%88%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%88%D8%AD%D8%AC%D8%B2-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA
5,مشروع متعدد البائعين توصيل وتجارة إلكترونية وحجز سيارات,Web Development,تطوير الويب,2025-05-02,500.00 ,15.0,7,برمجة أندرويد,Android programming,https://mostaql.com/project/1080085-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%A8%D8%A7%D8%A6%D8%B9%D9%8A%D9%86-%D8%AA%D9%88%D8%B5%D9%8A%D9%84-%D9%88%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%88%D8%AD%D8%AC%D8%B2-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA
5,مشروع متعدد البائعين توصيل وتجارة إلكترونية وحجز سيارات,Web Development,تطوير الويب,2025-05-02,500.00 ,15.0,7,برمجة iOS,IOS programming,https://mostaql.com/project/1080085-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%A8%D8%A7%D8%A6%D8%B9%D9%8A%D9%86-%D8%AA%D9%88%D8%B5%D9%8A%D9%84-%D9%88%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%88%D8%AD%D8%AC%D8%B2-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA
5,مشروع متعدد البائعين توصيل وتجارة إلكترونية وحجز سيارات,Web Development,تطوير الويب,2025-05-02,500.00 ,15.0,7,برمجة,programming,https://mostaql.com/project/1080085-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%A8%D8%A7%D8%A6%D8%B9%D9%8A%D9%86-%D8%AA%D9%88%D8%B5%D9%8A%D9%84-%D9%88%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%88%D8%AD%D8%AC%D8%B2-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA
5,مشروع متعدد البائعين توصيل وتجارة إلكترونية وحجز سيارات,Web Development,تطوير الويب,2025-05-02,500.00 ,15.0,7,برمجة مواقع,Site programming,https://mostaql.com/project/1080085-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%A8%D8%A7%D8%A6%D8%B9%D9%8A%D9%86-%D8%AA%D9%88%D8%B5%D9%8A%D9%84-%D9%88%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%88%D8%AD%D8%AC%D8%B2-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA
5,مشروع متعدد البائعين توصيل وتجارة إلكترونية وحجز سيارات,Web Development,تطوير الويب,2025-05-02,500.00 ,15.0,7,برمجة التطبيقات,Application programming,https://mostaql.com/project/1080085-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%A8%D8%A7%D8%A6%D8%B9%D9%8A%D9%86-%D8%AA%D9%88%D8%B5%D9%8A%D9%84-%D9%88%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%88%D8%AD%D8%AC%D8%B2-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA
5,مشروع متعدد البائعين توصيل وتجارة إلكترونية وحجز سيارات,Web Development,تطوير الويب,2025-05-02,500.00 ,15.0,7,تطوير التطبيقات,Application development,https://mostaql.com/project/1080085-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%A8%D8%A7%D8%A6%D8%B9%D9%8A%D9%86-%D8%AA%D9%88%D8%B5%D9%8A%D9%84-%D9%88%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%88%D8%AD%D8%AC%D8%B2-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA
5,مشروع متعدد البائعين توصيل وتجارة إلكترونية وحجز سيارات,Web Development,تطوير الويب,2025-05-02,500.00 ,15.0,7,إنشاء تطبيق,Create an app,https://mostaql.com/project/1080085-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%A8%D8%A7%D8%A6%D8%B9%D9%8A%D9%86-%D8%AA%D9%88%D8%B5%D9%8A%D9%84-%D9%88%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%88%D8%AD%D8%AC%D8%B2-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA
5,مشروع متعدد البائعين توصيل وتجارة إلكترونية وحجز سيارات,Web Development,تطوير الويب,2025-05-02,500.00 ,15.0,7,تطوير البرمجيات,Software development,https://mostaql.com/project/1080085-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%A8%D8%A7%D8%A6%D8%B9%D9%8A%D9%86-%D8%AA%D9%88%D8%B5%D9%8A%D9%84-%D9%88%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%88%D8%AD%D8%AC%D8%B2-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA
5,مشروع متعدد البائعين توصيل وتجارة إلكترونية وحجز سيارات,Web Development,تطوير الويب,2025-05-02,500.00 ,15.0,7,هندسة البرمجيات,Software engineering,https://mostaql.com/project/1080085-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%A8%D8%A7%D8%A6%D8%B9%D9%8A%D9%86-%D8%AA%D9%88%D8%B5%D9%8A%D9%84-%D9%88%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%88%D8%AD%D8%AC%D8%B2-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA
6,تصميم متجر لتركيب وبيع العطور يعتمد على الذكاء الاصطناعي,Web Development,تطوير الويب,2025-05-02,"1,000.00 ",60.0,8,الذكاء الاصطناعي,artificial intelligence,https://mostaql.com/project/1080098-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D8%AA%D8%AC%D8%B1-%D9%84%D8%AA%D8%B1%D9%83%D9%8A%D8%A8-%D9%88%D8%A8%D9%8A%D8%B9-%D8%A7%D9%84%D8%B9%D8%B7%D9%88%D8%B1-%D9%8A%D8%B9%D8%AA%D9%85%D8%AF-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A
6,تصميم متجر لتركيب وبيع العطور يعتمد على الذكاء الاصطناعي,Web Development,تطوير الويب,2025-05-02,"1,000.00 ",60.0,8,تصميم موقع إلكتروني,Design a website,https://mostaql.com/project/1080098-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D8%AA%D8%AC%D8%B1-%D9%84%D8%AA%D8%B1%D9%83%D9%8A%D8%A8-%D9%88%D8%A8%D9%8A%D8%B9-%D8%A7%D9%84%D8%B9%D8%B7%D9%88%D8%B1-%D9%8A%D8%B9%D8%AA%D9%85%D8%AF-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A
