ID,Title,Category_English,Posted,Avg offer,Duration,Number of Offers,Tags,Tags_en,Link
11,إنشاء سكريبت لاستخراج بيانات,Web Development,منذ 5 ساعات,$25.00 ,3 أيام,27,"بايثون, web scraping, استخراج البيانات, برمجة, تطوير البرمجيات, هندسة البرمجيات","python, web scraping,  data extraction , programing,  application development ,programming engineer",https://mostaql.com/project/1080148-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%B3%D9%83%D8%B1%D9%8A%D8%A8%D8%AA-%D9%84%D8%A7%D8%B3%D8%AA%D8%AE%D8%B1%D8%A7%D8%AC-%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA
12,نظام ERP يدعم عمليات البيع والشراء وإنشاء نظام عمولات للمسوقين,Software Engineering,منذ 5 ساعات,$237.50 ,30 يوما,6,"تخطيط موارد المؤسسات ERP, برمجة, برمجة تطبيقات سطح المكتب, هندسة البرمجيات, تطوير البرمجيات, تطوير التطبيقات","ERP ERP, programing, programing  applicationات سطح المكتب,programming engineer,  application development , dev apps ",https://mostaql.com/project/1080147-%D9%86%D8%B8%D8%A7%D9%85-erp-%D9%8A%D8%AF%D8%B9%D9%85-%D8%B9%D9%85%D9%84%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D9%8A%D8%B9-%D9%88%D8%A7%D9%84%D8%B4%D8%B1%D8%A7%D8%A1-%D9%88%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%86%D8%B8%D8%A7%D9%85-%D8%B9%D9%85%D9%88%D9%84%D8%A7%D8%AA-%D9%84%D9%84%D9%85%D8%B3%D9%88%D9%82%D9%8A%D9%86
13,مشروع لعد الأشجار بالذكاء اصطناعي,Data Science,منذ 3 ساعات,$75.00 ,14 يوما,4,"برمجة, تطوير البرمجيات, برمجة قواعد البيانات","programing,  application development , programing data base",https://mostaql.com/project/1079973-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%84%D8%B9%D8%AF-%D8%A7%D9%84%D8%A3%D8%B4%D8%AC%D8%A7%D8%B1-%D8%A8%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A
14,مطور Backend لتنفيذ مشروع جاهز,Web Development,منذ 8 ساعات,$73.00 ,6 أيام,18,"تطوير البرمجيات, إدارة المواقع, برمجة, برمجة مواقع, بايثون, PHP, جافا سكريبت, HTML, CSS"," application development ,  management web, programing, programing web, python, PHP, java script, HTML, CSS",https://mostaql.com/project/1080034-%D9%85%D8%B7%D9%88%D8%B1-backend-%D9%84%D8%AA%D9%86%D9%81%D9%8A%D8%B0-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%AC%D8%A7%D9%87%D8%B2
15,مصمم css لموقع في سلة,Web Development,منذ ساعتين,$50.00 ,5 أيام,13,"تصميم جرافيك, برمجة, تطوير البرمجيات, برمجة قواعد البيانات, برمجة مواقع","design جرافيك, programing,  application development , programing data base, programing web",https://mostaql.com/project/1080212-%D9%85%D8%B5%D9%85%D9%85-css-%D9%84%D9%85%D9%88%D9%82%D8%B9-%D9%81%D9%8A-%D8%B3%D9%84%D8%A9
16,عمل Dashboard لمتابعة سير أعمال المشروع,Networking,منذ 38 دقيقة,$50.00 ,1 يوم,2,"تصوير البيانات, تحليل البيانات, مايكروسوفت إكسل, Figma, Power BI, تصميم داش بورد","تصوير البيانات, data analysis, مايكروسوفت Excel, Figma, Power BI, design داش بورد",https://mostaql.com/project/1080249-%D8%B9%D9%85%D9%84-dashboard-%D9%84%D9%85%D8%AA%D8%A7%D8%A8%D8%B9%D8%A9-%D8%B3%D9%8A%D8%B1-%D8%A3%D8%B9%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%B9
17,تصميم صفحة هبوط متجر,Software Engineering,منذ 8 ساعات,$199.00 ,1 يوم,16,"فوتوشوب, تصميم جرافيك, التصميم الإبداعي, تصميم إعلان, إنشاء صفحة هبوط, تصميم صفحات الهبوط, برمجة, برمجة مواقع","photoshop, design جرافيك, الdesign الإبداعي, design إعلان, create drop pages, design drop pages, programing, programing web",https://mostaql.com/project/1080043-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%B5%D9%81%D8%AD%D8%A9-%D9%87%D8%A8%D9%88%D8%B7-%D9%85%D8%AA%D8%AC%D8%B1
18,تصميم موقع إلكتروني,Web Development,منذ 3 ساعات,$100.00 ,10 أيام,14,"تصميم موقع إلكتروني, برمجة مواقع, إنشاء موقع إلكتروني, إنشاء موقع ووردبريس, ووردبريس, MySQL, بوتستراب, PHP, جافا سكريبت, CSS, HTML, التصميم الإبداعي, الفكرة التصميمية","design web إلكتروني, programing web, create web إلكتروني, create web wordpress, wordpress, MySQL, bootstrap, PHP, java script, CSS, HTML, الdesign الإبداعي, الفكرة الdesignية",https://mostaql.com/project/1080183-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A
19,كتابة وتصميم مشروع محاسبي لشركة أغذية,Web Development,منذ 28 دقيقة,$250.00 ,10 أيام,3,"كتابة المحتوى, تصميم موقع إلكتروني, إنشاء موقع إلكتروني, تطوير الويب, التصميم الإبداعي, برمجة, هندسة البرمجيات","كتابة المحتوى, design web إلكتروني, create web إلكتروني, devweb, الdesign الإبداعي, programing,programming engineer",https://mostaql.com/project/1080252-%D9%83%D8%AA%D8%A7%D8%A8%D8%A9-%D9%88%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AD%D8%A7%D8%B3%D8%A8%D9%8A-%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D8%A3%D8%BA%D8%B0%D9%8A%D8%A9
20,تصميم موقع احترافي متجاوب مع جميع الأجهزة,Web Development,منذ ساعتين,$205.00 ,10 أيام,16,"برمجة, برمجة مواقع, إنشاء موقع إلكتروني, أمن وحماية المواقع, بايثون, PHP, CSS, جافا سكريبت","programing, programing web, create web إلكتروني, أمن وحماية الweb, python, PHP, CSS, java script",https://mostaql.com/project/1080199-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D9%85%D8%AA%D8%AC%D8%A7%D9%88%D8%A8-%D9%85%D8%B9-%D8%AC%D9%85%D9%8A%D8%B9-%D8%A7%D9%84%D8%A3%D8%AC%D9%87%D8%B2%D8%A9
21,بناء واجهات بفلاتر,Mobile Development,منذ ساعة,$100.00 ,10 أيام,13,"flutter, Front End, برمجة, تطوير البرمجيات, برمجة مواقع, تصميم تطبيقات","flutter, Front End, programing,  application development , programing web, design  applicationات",https://mostaql.com/project/1078844-%D8%A8%D9%86%D8%A7%D8%A1-%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-%D8%A8%D9%81%D9%84%D8%A7%D8%AA%D8%B1
22,حل مشكلةً عدم ظهور الصور في التطبيق ولوحة التحكم والخرائط,Web Development,منذ 3 ساعات,$100.00 ,7 أيام,5,"برمجة مواقع, برمجة iOS, برمجة أندرويد, هندسة البرمجيات, تطوير التطبيقات, تطوير البرمجيات","programing web, programing iOS, programing android ,programming engineer, dev apps ,  application development ",https://mostaql.com/project/1080184-%D8%AD%D9%84-%D9%85%D8%B4%D9%83%D9%84%D8%A9-%D8%B9%D8%AF%D9%85-%D8%B8%D9%87%D9%88%D8%B1-%D8%A7%D9%84%D8%B5%D9%88%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%88%D9%84%D9%88%D8%AD%D8%A9-%D8%A7%D9%84%D8%AA%D8%AD%D9%83%D9%85-%D9%88%D8%A7%D9%84%D8%AE%D8%B1%D8%A7%D8%A6%D8%B7
23,تطبيق SCADA System لـ LS PLC,Mobile Development,منذ 8 ساعات,$250.00 ,3 أيام,1,"PLC, C# Programming, برمجة, تطوير البرمجيات, هندسة البرمجيات","PLC, C# Programming, programing,  application development ,programming engineer",https://mostaql.com/project/1080058-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-scada-system-%D9%84%D9%80-ls-plc
24,إنشاء بوت محلي (Desktop Bot) يعتمد على ChatGPT API للتحكم في الملفات,Cyber Security,منذ 6 ساعات,$35.00 ,2 يومين,11,"تطوير البرمجيات, هندسة البرمجيات, اختبار البرمجيات, تعلم البرمجة, البرمجة الخطية, أنظمة مدمجة, برمجة, تصحيح برمجي, برمجة التطبيقات, برمجة مواقع"," application development ,programming engineer, testing  programes , تعلم programing, programing الخطية, أنظمة مدمجة, programing, debugging, programing  apps , programing web",https://mostaql.com/project/1080119-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%A8%D9%88%D8%AA-%D9%85%D8%AD%D9%84%D9%8A-desktop-bot-%D9%8A%D8%B9%D8%AA%D9%85%D8%AF-%D8%B9%D9%84%D9%89-chatgpt-api-%D9%84%D9%84%D8%AA%D8%AD%D9%83%D9%85-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D9%84%D9%81%D8%A7%D8%AA
25,تعديل على تطبيق flutter ولوحة تحكم php,Mobile Development,منذ 6 ساعات,$118.00 ,7 أيام,1,"flutter, PHP, Back End, Front End, برمجة التطبيقات, برمجة iOS, برمجة أندرويد, برمجة تطبيقات أيفون, Dart","flutter, PHP, Back End, Front End, programing  apps , programing iOS, programing android , programing  applicationات أيفون, Dart",https://mostaql.com/project/1080104-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D8%B9%D9%84%D9%89-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-flutter-%D9%88%D9%84%D9%88%D8%AD%D8%A9-%D8%AA%D8%AD%D9%83%D9%85-php
26,تعديل وتحسين متجر في سلة وإنشاء متجر جديد مع تفعيل قنوات الدفع تابي وتمارا,Web Development,منذ 11 ساعة,$450.00 ,7 أيام,6,"تصميم متجر إلكتروني, التصميم الإبداعي, تصميم واجهة المستخدم, تصميم UI UX, تصميم تجربة المستخدم, adobe xd, Adobe Illustrator","design  online market, الdesign الإبداعي, design UI, design UI UX, design UX, adobe xd, Adobe Illustrator",https://mostaql.com/project/1079988-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D9%88%D8%AA%D8%AD%D8%B3%D9%8A%D9%86-%D9%85%D8%AA%D8%AC%D8%B1-%D9%81%D9%8A-%D8%B3%D9%84%D8%A9-%D9%88%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D8%AA%D8%AC%D8%B1-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%85%D8%B9-%D8%AA%D9%81%D8%B9%D9%8A%D9%84-%D9%82%D9%86%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D8%AF%D9%81%D8%B9-%D8%AA%D8%A7%D8%A8%D9%8A-%D9%88%D8%AA%D9%85%D8%A7%D8%B1%D8%A7
27,إختبار نظام,System Testing / QA,منذ 15 ساعة,$50.00 ,3 أيام,8,"تصميم واجهة المستخدم, برمجة, Front End, Back End, تحسين محركات البحث, تحليل البيانات, C# Programming, جافا سكريبت","design UI, programing, Front End, Back End, تحسين محركات البحث, data analysis, C# Programming, java script",https://mostaql.com/project/1079828-%D8%A5%D8%AE%D8%AA%D8%A8%D8%A7%D8%B1-%D9%86%D8%B8%D8%A7%D9%85
28,بناء نظام ساس,Web Development,منذ 10 ساعات,$500.00 ,30 يوما,4,"لارافيل, Back End, برمجة مواقع, تصميم داش بورد, هندسة البرمجيات, تطوير البرمجيات, اختبار المواقع, تصميم UI UX, برمجة أندرويد","laravel, Back End, programing web, design داش بورد,programming engineer,  application development , testing الweb, design UI UX, programing android ",https://mostaql.com/project/1080001-%D8%A8%D9%86%D8%A7%D8%A1-%D9%86%D8%B8%D8%A7%D9%85-%D8%B3%D8%A7%D8%B3
29,تصميم متجر على شوبيفاي,Web Development,منذ 13 ساعة,$100.00 ,3 أيام,7,"تصميم جرافيك, التصميم الإبداعي, تطوير البرمجيات, برمجة مواقع, شوبيفاي, قوالب شوبيفاي","design جرافيك, الdesign الإبداعي,  application development , programing web, شوبيفاي, قوالب شوبيفاي",https://mostaql.com/project/1079842-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D8%AA%D8%AC%D8%B1-%D8%B9%D9%84%D9%89-%D8%B4%D9%88%D8%A8%D9%8A%D9%81%D8%A7%D9%8A
30,تصميم وإنشاء موقع متخصص لخدمات رجال الأعمال والمستثمرين,Web Development,منذ يوم,"$1,200.00 ",30 يوما,41,"التسويق عبر الإنترنت, تصميم موقع إلكتروني, برمجة مواقع, تطوير الويب, تصميم مواقع, خدمات الويب, تطوير الويب الكامل, إنشاء موقع إلكتروني","التسويق عبر الإنترنت, design web إلكتروني, programing web, devweb, design web, خدمات web, devwebالكامل, create web إلكتروني",https://mostaql.com/project/1079622-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%88%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D8%B1%D8%AC%D8%A7%D9%84-%D8%A7%D9%84%D8%A3%D8%B9%D9%85%D8%A7%D9%84-%D9%88%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D8%AB%D9%85%D8%B1%D9%8A%D9%86
31,مصمم واجهات أمامية ومبرمج باكند لموقع عمل حر,Web Development,منذ 16 ساعة,"$1,100.00 ",60 يوما,24,"Back End, تصميم واجهة المستخدم, واجهة برمجة التطبيقات, React, React Native, Next.js, PHP, لارافيل","Back End, design UI, واجهة programing  apps , React, React Native, Next.js, PHP, laravel",https://mostaql.com/project/1079736-%D9%85%D8%B5%D9%85%D9%85-%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-%D8%A3%D9%85%D8%A7%D9%85%D9%8A%D8%A9-%D9%88%D9%85%D8%A8%D8%B1%D9%85%D8%AC-%D8%A8%D8%A7%D9%83%D9%86%D8%AF-%D9%84%D9%85%D9%88%D9%82%D8%B9-%D8%B9%D9%85%D9%84-%D8%AD%D8%B1
32,إنشاء داش بورد تفاعلي,Data Science,منذ 15 ساعة,$30.00 ,3 أيام,48,"مايكروسوفت أوفيس, مايكروسوفت إكسل, تطوير البرمجيات, برمجة, برمجة قواعد البيانات","مايكروسوفت أوفيس, مايكروسوفت Excel,  application development , programing, programing data base",https://mostaql.com/project/1079843-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%AF%D8%A7%D8%B4-%D8%A8%D9%88%D8%B1%D8%AF-%D8%AA%D9%81%D8%A7%D8%B9%D9%84%D9%8A
33,مبرمج لارافل فيو جي اس لعمل لتعديل بموقع,Web Development,منذ 12 ساعة,$30.00 ,1 يوم,10,"لارافيل, vuejs, PHP, جافا سكريبت, برمجة, تطوير البرمجيات, برمجة مواقع","laravel, vuejs, PHP, java script, programing,  application development , programing web",https://mostaql.com/project/1079977-%D9%85%D8%A8%D8%B1%D9%85%D8%AC-%D9%84%D8%A7%D8%B1%D8%A7%D9%81%D9%84-%D9%81%D9%8A%D9%88-%D8%AC%D9%8A-%D8%A7%D8%B3-%D9%84%D8%B9%D9%85%D9%84-%D9%84%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D8%A8%D9%85%D9%88%D9%82%D8%B9
34,تطبيق جوال لفكرة مجتمعية بسيطة ومفيدة,Web Development,منذ يوم,"$1,400.00 ",45 يوما,29,"برمجة, اللغة العربية, تصميم تجربة المستخدم, تصميم واجهة المستخدم, تصميم UI UX, تصميم تطبيقات الهواتف الذكية, تصميم تطبيقات, Swift, Ionic, كوتلن, جافا, برمجة iOS, برمجة التطبيقات, برمجة أندرويد","programing, اللغة العربية, design UX, design UI, design UI UX, design  applicationات mobile, design  applicationات, Swift, Ionic, kotlin, java, programing iOS, programing  apps , programing android ",https://mostaql.com/project/1079762-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AC%D9%88%D8%A7%D9%84-%D9%84%D9%81%D9%83%D8%B1%D8%A9-%D9%85%D8%AC%D8%AA%D9%85%D8%B9%D9%8A%D8%A9-%D8%A8%D8%B3%D9%8A%D8%B7%D8%A9-%D9%88%D9%85%D9%81%D9%8A%D8%AF%D8%A9
35,عمل تطبيق جوال لشركة هندسية,Web Development,منذ 14 ساعة,$699.00 ,30 يوما,7,"تصميم مواقع, C# Programming, تصميم, تصميم تطبيقات, إنشاء متجر إلكتروني, برمجة التطبيقات, تطوير البرمجيات, برمجة, هندسة البرمجيات, برمجة iOS, برمجة أندرويد","design web, C# Programming, design, design  applicationات, create  online market, programing  apps ,  application development , programing,programming engineer, programing iOS, programing android ",https://mostaql.com/project/1079891-%D8%B9%D9%85%D9%84-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AC%D9%88%D8%A7%D9%84-%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D9%87%D9%86%D8%AF%D8%B3%D9%8A%D8%A9
36,تصميم موقع إلكتروني,Web Development,منذ 11 ساعة,$300.00 ,3 أيام,19,"تصميم موقع إلكتروني, برمجة مواقع, اللغة العربية, تصميم إعلان, اللغة الإنجليزية, الفكرة التصميمية","design web إلكتروني, programing web, اللغة العربية, design إعلان, اللغة الإنجليزية, الفكرة الdesignية",https://mostaql.com/project/1079993-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A
37,تدريب نموذج ذكاء إصطناعي,Mobile Development,منذ 10 ساعات,$600.00 ,20 يوما,42,"الذكاء الاصطناعي, برمجة, برمجة مواقع, هندسة البرمجيات, التعلم الآلي","AI, programing, programing web,programming engineer, التعلم الآلي",https://mostaql.com/project/1080003-%D8%AA%D8%AF%D8%B1%D9%8A%D8%A8-%D9%86%D9%85%D9%88%D8%B0%D8%AC-%D8%B0%D9%83%D8%A7%D8%A1-%D8%A5%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A
