ID,Category,Category.1,job_type,Posted,Budget,est. budget,hours/week,duration,UpWork
38,Data Science & Analytics,Data Science,Hourly,4/25/2025,,35,,<1,UpWork
39,Data Science & Analytics,AI & ML,Hourly,4/25/2025,,,<30,<1,UpWork
40,Data Science & Analytics,AI & ML,Hourly,4/25/2025,,25,<30,<1,UpWork
41,Data Science & Analytics,Data Science,Hourly,4/24/2025,,45,>30,4.5,UpWork
42,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,251.5,,,,UpWork
43,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,,<30,<1,UpWork
44,Data Science & Analytics,Data Science,Hourly,4/24/2025,,32.5,<30,<1,UpWork
45,Data Science & Analytics,Web Development,Hourly,4/24/2025,,,>30,4.5,UpWork
46,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,25,<30,<1,UpWork
47,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,45,<30,<1,UpWork
48,Data Science & Analytics,Web Development,Hourly,4/24/2025,,,<30,<1,UpWork
49,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,,>30,4.5,UpWork
50,Data Science & Analytics,Web Development,Hourly,4/24/2025,,32.5,<30,<1,UpWork
51,Data Science & Analytics,Geospatial Analysis,Hourly,4/24/2025,,,<30,<1,UpWork
52,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,85,<30,<1,UpWork
53,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,20,<30,<1,UpWork
54,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,20,<30,<1,UpWork
55,Data Science & Analytics,Data Science,Hourly,4/24/2025,,20,<30,<1,UpWork
56,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,,<30,<1,UpWork
57,Data Science & Analytics,Marketing Technology,Hourly,4/24/2025,,13.5,<30,<1,UpWork
58,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,45,<30,<1,UpWork
59,Data Science & Analytics,Web Development,Hourly,4/24/2025,,30,<30,<1,UpWork
60,Data Science & Analytics,Web Development,Fixed price,4/24/2025,100,,,,UpWork
61,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,100,,,,UpWork
62,Data Science & Analytics,Data Science,Fixed price,4/24/2025,10,,,,UpWork
63,Data Science & Analytics,Web Development,Hourly,4/24/2025,,,<30,<1,UpWork
64,Data Science & Analytics,Web Development,Hourly,4/24/2025,,18,,2,UpWork
65,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,2.5,,,,UpWork
66,Data Science & Analytics,Web Development,Fixed price,4/24/2025,3.5,,,,UpWork
67,Data Science & Analytics,Mobile Development,Fixed price,4/24/2025,200,,,,UpWork
68,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,11.5,<30,<1,UpWork
69,Data Science & Analytics,Web Development,Hourly,4/24/2025,,16.5,<30,<1,UpWork
70,Data Science & Analytics,Data Science,Hourly,4/24/2025,,,>30,>6,UpWork
71,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,700,,,,UpWork
72,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,12,<30,<1,UpWork
73,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,25,<30,<1,UpWork
74,Data Science & Analytics,Data Science,Fixed price,4/24/2025,500,,,,UpWork
75,Data Science & Analytics,Data Science,Hourly,4/24/2025,,45,<30,<1,UpWork
76,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,60,,,,UpWork
77,Data Science & Analytics,Data Science,Hourly,4/24/2025,,27.5,<30,<1,UpWork
78,Data Science & Analytics,Mobile Development,Hourly,4/24/2025,,60,<30,<1,UpWork
79,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,7.5,<30,<1,UpWork
80,Data Science & Analytics,Data Science,Fixed price,4/24/2025,25,,,,UpWork
81,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,42.5,<30,<1,UpWork
82,Data Science & Analytics,Web Development,Hourly,4/24/2025,,,<30,<1,UpWork
83,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,50,,,,UpWork
84,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,100,,,,UpWork
85,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,9.5,,4.5,UpWork
86,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,10,,,,UpWork
87,Data Science & Analytics,Software Engineering,Hourly,4/24/2025,,20,<30,<1,UpWork
88,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,5,<30,<1,UpWork
89,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,,>30,4.5,UpWork
90,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,16.5,,2,UpWork
91,Data Science & Analytics,AI & ML,Hourly,4/18/2025,,14.5,<30,<1,UpWork
92,Data Science & Analytics,Data Science,Hourly,4/24/2025,,95,<30,<1,UpWork
93,Data Science & Analytics,Data Science,Fixed price,4/24/2025,100,,,,UpWork
94,Data Science & Analytics,Data Science,Hourly,4/24/2025,,,>30,2,UpWork
95,Data Science & Analytics,Web Development,Hourly,4/24/2025,,57.5,<30,<1,UpWork
96,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,8.5,>30,>6,UpWork
97,Data Science & Analytics,AI & ML,Fixed price,4/20/2025,220,,,,UpWork
98,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,7.5,>30,>6,UpWork
99,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,6.5,>30,>6,UpWork
100,Data Science & Analytics,Data Science,Hourly,4/24/2025,,,<30,<1,UpWork
101,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,5.5,>30,>6,UpWork
102,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,6,>30,>6,UpWork
103,Data Science & Analytics,Data Science,Fixed price,4/24/2025,25,,,,UpWork
104,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,,<30,<1,UpWork
105,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,87.5,<30,<1,UpWork
106,Data Science & Analytics,Web Development,Fixed price,4/24/2025,300,,,,UpWork
107,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,135,<30,<1,UpWork
108,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,350,,,,UpWork
109,Data Science & Analytics,Web Development,Hourly,4/24/2025,,32.5,<30,<1,UpWork
110,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,9,<30,<1,UpWork
111,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,50,<30,<1,UpWork
112,Data Science & Analytics,Data Science,Hourly,4/24/2025,,,<30,<1,UpWork
113,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,19.5,<30,<1,UpWork
114,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,12.5,>30,>6,UpWork
115,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,100,,,,UpWork
116,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,52.5,<30,<1,UpWork
117,Data Science & Analytics,Data Science,Fixed price,4/24/2025,100,,,,UpWork
118,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,25,<30,<1,UpWork
119,Data Science & Analytics,General IT Support,Hourly,4/24/2025,,32.5,<30,<1,UpWork
120,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,25,,,,UpWork
121,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,20,>30,4.5,UpWork
122,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,38,,2,UpWork
123,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,16.5,>30,2,UpWork
124,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,100,,,,UpWork
125,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,100,,,,UpWork
126,Data Science & Analytics,Software Engineering,Fixed price,4/24/2025,300,,,,UpWork
127,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,,<30,<1,UpWork
128,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,20,,,,UpWork
129,Data Science & Analytics,Data Science,Hourly,4/24/2025,,32.5,<30,<1,UpWork
130,Data Science & Analytics,Mobile Development,Fixed price,4/24/2025,650,,,,UpWork
131,Data Science & Analytics,Data Science,Hourly,4/24/2025,,33.5,<30,<1,UpWork
132,Data Science & Analytics,Web Development,Hourly,4/24/2025,,59.5,<30,<1,UpWork
133,Data Science & Analytics,Web Development,Hourly,4/24/2025,,25,>30,>6,UpWork
134,Data Science & Analytics,Data Science,Hourly,4/24/2025,,,>30,4.5,UpWork
135,Data Science & Analytics,Data Science,Hourly,4/24/2025,,12.5,<30,<1,UpWork
136,Data Science & Analytics,Mobile Development,Hourly,4/24/2025,,,<30,<1,UpWork
137,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,51,,,,UpWork
138,Data Science & Analytics,Web Development,Hourly,4/24/2025,,,>30,>6,UpWork
139,Data Science & Analytics,Mobile Development,Hourly,4/24/2025,,15,>30,>6,UpWork
140,Data Science & Analytics,Data Science,Fixed price,4/24/2025,70,,,,UpWork
141,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,22.5,<30,<1,UpWork
142,Data Science & Analytics,Mobile Development,Hourly,4/24/2025,,,>30,>6,UpWork
143,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,288,,,,UpWork
144,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,30,,,,UpWork
145,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,100,,,,UpWork
146,Data Science & Analytics,Cyber Security,Hourly,4/24/2025,,39.5,<30,<1,UpWork
147,Data Science & Analytics,Data Science,Hourly,4/24/2025,,25,<30,<1,UpWork
148,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,35,<30,<1,UpWork
149,Data Science & Analytics,Business Intelligence / Reporting,Hourly,4/24/2025,,22.5,<30,<1,UpWork
150,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,15,<30,<1,UpWork
151,Data Science & Analytics,Web Development,Hourly,4/24/2025,,40,<30,<1,UpWork
152,Data Science & Analytics,Data Science,Hourly,4/24/2025,,50,,2,UpWork
153,Data Science & Analytics,Data Science,Hourly,4/24/2025,,32.5,<30,<1,UpWork
154,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,300,,,,UpWork
155,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,27.5,>30,2,UpWork
156,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,0.5,,,,UpWork
157,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,12.5,<30,<1,UpWork
158,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,100,,,,UpWork
159,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,15,<30,<1,UpWork
160,Data Science & Analytics,DevOps,Hourly,4/24/2025,,37.5,<30,<1,UpWork
161,Data Science & Analytics,Data Science,Fixed price,4/24/2025,500,,,,UpWork
162,Data Science & Analytics,Data Science,Hourly,4/24/2025,,30,<30,<1,UpWork
163,Data Science & Analytics,Web Development,Hourly,4/24/2025,,,<30,<1,UpWork
164,Data Science & Analytics,Data Science,Hourly,4/24/2025,,47.5,>30,>6,UpWork
165,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,22.5,>30,2,UpWork
166,Data Science & Analytics,Web Development,Fixed price,4/24/2025,300,,,,UpWork
167,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,275,,,,UpWork
168,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,100,,,,UpWork
169,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,,<30,<1,UpWork
170,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,29.5,,2,UpWork
171,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,500,,,,UpWork
172,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,25,,<1,UpWork
173,Data Science & Analytics,Web Development,Hourly,4/24/2025,,,<30,<1,UpWork
174,Data Science & Analytics,Grant Writing / Non-profit Tech,Hourly,4/24/2025,,,<30,<1,UpWork
175,Data Science & Analytics,Mobile Development,Fixed price,4/24/2025,800,,,,UpWork
176,Data Science & Analytics,Mobile Development,Hourly,4/24/2025,,45,<30,<1,UpWork
177,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,40,,,,UpWork
178,Data Science & Analytics,Web Development,Fixed price,4/24/2025,250,,,,UpWork
179,Data Science & Analytics,Data Science,Hourly,4/24/2025,,22,<30,<1,UpWork
180,Data Science & Analytics,IT Consulting / Project Management,Hourly,4/24/2025,,30,<30,<1,UpWork
181,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,20,,,,UpWork
182,Data Science & Analytics,Data Science,Fixed price,4/24/2025,300,,,,UpWork
183,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,10,,,,UpWork
184,Data Science & Analytics,Data Science,Hourly,4/24/2025,,,<30,<1,UpWork
185,Data Science & Analytics,DevOps,Hourly,4/24/2025,,21.5,>30,2,UpWork
186,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,37.5,<30,<1,UpWork
187,Data Science & Analytics,Marketing Technology,Hourly,4/24/2025,,,<30,<1,UpWork
188,Data Science & Analytics,Data Science,Hourly,4/24/2025,,,<30,<1,UpWork
189,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,,<30,<1,UpWork
190,Data Science & Analytics,Mobile Development,Fixed price,4/24/2025,150,,,,UpWork
191,Data Science & Analytics,Web Development,Hourly,4/24/2025,,64.5,>30,2,UpWork
192,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,,<30,<1,UpWork
193,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,9,<30,<1,UpWork
194,Data Science & Analytics,Web Development,Fixed price,4/24/2025,0.5,,,,UpWork
195,Data Science & Analytics,Web Development,Fixed price,4/24/2025,2.5,,,,UpWork
196,Data Science & Analytics,Data Science,Fixed price,4/24/2025,5,,,,UpWork
197,Data Science & Analytics,Mobile Development,Fixed price,4/24/2025,100,,,,UpWork
198,Data Science & Analytics,Cyber Security,Hourly,4/24/2025,,12.5,>30,>6,UpWork
199,Data Science & Analytics,Cyber Security,Hourly,4/24/2025,,97.5,<30,<1,UpWork
200,Data Science & Analytics,General IT Support,Fixed price,4/24/2025,500,,,,UpWork
201,Data Science & Analytics,Web Development,Fixed price,4/24/2025,0.5,,,,UpWork
202,Data Science & Analytics,Web Development,Hourly,4/24/2025,,16.5,<30,<1,UpWork
203,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,12.5,<30,<1,UpWork
204,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,,,<1,UpWork
205,Data Science & Analytics,Data Science,Hourly,4/24/2025,,,<30,<1,UpWork
206,Data Science & Analytics,Business Intelligence / Reporting,Hourly,4/24/2025,,9,>30,4.5,UpWork
207,Data Science & Analytics,Data Science,Fixed price,4/24/2025,12,,,,UpWork
208,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,9,>30,4.5,UpWork
209,Data Science & Analytics,IT Support / System Setup,Fixed price,4/24/2025,2,,,,UpWork
210,Data Science & Analytics,Web Development,Fixed price,4/24/2025,200,,,,UpWork
211,Data Science & Analytics,Data Science,Hourly,4/24/2025,,35,<30,<1,UpWork
212,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,29.5,<30,<1,UpWork
213,Data Science & Analytics,Web Development,Fixed price,4/24/2025,30,,,,UpWork
214,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,360,,,,UpWork
215,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,30,,,,UpWork
216,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,37.5,<30,<1,UpWork
217,Data Science & Analytics,Web Development,Fixed price,4/24/2025,5,,,,UpWork
218,Data Science & Analytics,Mobile Development,Fixed price,4/24/2025,0.5,,,,UpWork
219,Data Science & Analytics,Data Science,Hourly,4/24/2025,,22.5,>30,4.5,UpWork
220,Data Science & Analytics,Business Intelligence / Reporting,Hourly,4/24/2025,,,<30,<1,UpWork
221,Data Science & Analytics,Database Management,Hourly,4/24/2025,,11.5,<30,<1,UpWork
222,Data Science & Analytics,Web Development,Fixed price,4/24/2025,120,,,,UpWork
223,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,35,>30,2,UpWork
224,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,100,,,,UpWork
225,Data Science & Analytics,Data Science,Hourly,4/24/2025,,27.5,<30,<1,UpWork
226,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,70,,,,UpWork
227,Data Science & Analytics,Web Development,Hourly,4/24/2025,,32.5,<30,<1,UpWork
228,Data Science & Analytics,Web Development,Fixed price,4/24/2025,10,,,,UpWork
229,Data Science & Analytics,Web Development,Fixed price,4/24/2025,10,,,,UpWork
230,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,,<30,<1,UpWork
231,Data Science & Analytics,Web Development,Fixed price,4/24/2025,10,,,,UpWork
232,Data Science & Analytics,Data Science,Hourly,4/18/2025,,32.5,<30,<1,UpWork
233,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,400,,,,UpWork
234,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,120,,,,UpWork
235,Data Science & Analytics,General IT Support,Fixed price,4/24/2025,35,,,,UpWork
236,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,100,,,,UpWork
237,Data Science & Analytics,Geospatial Analysis,Fixed price,4/24/2025,50,,,,UpWork
238,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,20,,2,UpWork
239,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,40,<30,<1,UpWork
240,Data Science & Analytics,Data Science,Hourly,4/24/2025,,32.5,<30,<1,UpWork
241,Data Science & Analytics,Data Science,Hourly,4/24/2025,,12.5,<30,<1,UpWork
242,Data Science & Analytics,Web Development,Hourly,4/24/2025,,,<30,<1,UpWork
243,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,17.5,>30,4.5,UpWork
244,Data Science & Analytics,Web Development,Hourly,4/24/2025,,,<30,<1,UpWork
245,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,100,,,,UpWork
246,Data Science & Analytics,General IT Support,Hourly,4/24/2025,,,<30,<1,UpWork
247,Data Science & Analytics,Web Development,Hourly,4/24/2025,,31.5,<30,<1,UpWork
248,Data Science & Analytics,General IT Support,Fixed price,4/24/2025,0.5,,,,UpWork
249,Data Science & Analytics,Data Science,Hourly,4/24/2025,,32.5,<30,<1,UpWork
250,Data Science & Analytics,Data Science,Hourly,4/24/2025,,27.5,,4.5,UpWork
251,Data Science & Analytics,Data Science,Hourly,4/24/2025,,,<30,<1,UpWork
252,Data Science & Analytics,Data Science,Hourly,4/24/2025,,,<30,<1,UpWork
253,Data Science & Analytics,AI & ML,Fixed price,3/25/2025,300,,,,UpWork
254,Data Science & Analytics,Web Development,Fixed price,4/24/2025,0.5,,,,UpWork
255,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,,<30,<1,UpWork
256,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,10,,,,UpWork
257,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,29.5,>30,2,UpWork
258,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,45,<30,<1,UpWork
259,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,34.5,<30,<1,UpWork
260,Data Science & Analytics,Data Science,Hourly,4/24/2025,,22.5,,2,UpWork
261,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,750,,,,UpWork
262,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,150,,,,UpWork
263,Data Science & Analytics,General IT Support,Hourly,4/24/2025,,32.5,,4.5,UpWork
264,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,50,,,,UpWork
265,Data Science & Analytics,Marketing Technology,Fixed price,4/24/2025,45,,,,UpWork
266,Data Science & Analytics,Data Science,Fixed price,4/24/2025,50,,,,UpWork
267,Data Science & Analytics,Data Science,Hourly,4/24/2025,,,<30,<1,UpWork
268,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,45,>30,>6,UpWork
269,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,17.5,,<1,UpWork
270,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,44.5,>30,>6,UpWork
271,Data Science & Analytics,Data Science,Hourly,4/24/2025,,32.5,<30,<1,UpWork
272,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,25,<30,<1,UpWork
273,Data Science & Analytics,Data Science,Hourly,4/24/2025,,,>30,>6,UpWork
274,Data Science & Analytics,Web Development,Fixed price,4/24/2025,300,,,,UpWork
275,Data Science & Analytics,Data Science,Hourly,4/24/2025,,,>30,2,UpWork
276,Data Science & Analytics,Data Science,Hourly,4/24/2025,,15,<30,<1,UpWork
277,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,200,,,,UpWork
278,Data Science & Analytics,Database Management,Fixed price,4/24/2025,150,,,,UpWork
279,Data Science & Analytics,Data Science,Hourly,4/24/2025,,16,>30,4.5,UpWork
280,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,50,,,,UpWork
281,Data Science & Analytics,Web Development,Fixed price,4/24/2025,300,,,,UpWork
282,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,11.5,>30,>6,UpWork
283,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,15.5,>30,>6,UpWork
284,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,100,,,,UpWork
285,Data Science & Analytics,Web Development,Hourly,4/24/2025,,,<30,<1,UpWork
286,Data Science & Analytics,General IT Support,Hourly,4/24/2025,,,<30,<1,UpWork
287,Data Science & Analytics,AI & ML,Fixed price,4/24/2025,200,,,,UpWork
288,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,,<30,<1,UpWork
289,Data Science & Analytics,Data Science,Hourly,4/24/2025,,,<30,<1,UpWork
290,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,14,>30,>6,UpWork
291,Data Science & Analytics,Data Science,Hourly,4/24/2025,,20,<30,<1,UpWork
292,Data Science & Analytics,Web Development,Hourly,4/24/2025,,16.5,<30,<1,UpWork
293,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,,<30,<1,UpWork
294,Data Science & Analytics,Data Science,Hourly,4/24/2025,,24,<30,<1,UpWork
295,Data Science & Analytics,Web Development,Hourly,4/24/2025,,,<30,<1,UpWork
296,Data Science & Analytics,Data Science,Fixed price,4/24/2025,150,,,,UpWork
297,Data Science & Analytics,Data Science,Hourly,4/24/2025,,,<30,<1,UpWork
298,Data Science & Analytics,AI & ML,Hourly,4/24/2025,,17.5,<30,<1,UpWork
299,Data Science & Analytics,General IT Support,Fixed price,4/23/2025,200,,,,UpWork
300,Data Science & Analytics,Web Development,Hourly,4/23/2025,,10,>30,>6,UpWork
301,Data Science & Analytics,AI & ML,Fixed price,4/23/2025,200,,,,UpWork
302,Data Science & Analytics,Mobile Development,Hourly,4/23/2025,,22.5,<30,<1,UpWork
303,Data Science & Analytics,AI & ML,Hourly,4/23/2025,,65,>30,4.5,UpWork
304,Data Science & Analytics,AI & ML,Hourly,4/23/2025,,59.5,<30,<1,UpWork
305,Data Science & Analytics,Web Development,Hourly,4/23/2025,,52,<30,<1,UpWork
306,Data Science & Analytics,AI & ML,Hourly,4/23/2025,,32.5,<30,<1,UpWork
307,Data Science & Analytics,AI & ML,Fixed price,4/23/2025,40,,,,UpWork
308,Data Science & Analytics,AI & ML,Hourly,4/23/2025,,65,<30,<1,UpWork
309,Data Science & Analytics,AI & ML,Hourly,4/23/2025,,,<30,<1,UpWork
310,Data Science & Analytics,AI & ML,Hourly,4/23/2025,,32.5,<30,<1,UpWork
311,Data Science & Analytics,AI & ML,Hourly,4/23/2025,,,>30,>6,UpWork
312,Data Science & Analytics,Data Science,Hourly,4/23/2025,,,<30,<1,UpWork
313,Data Science & Analytics,Web Development,Fixed price,4/23/2025,200,,,,UpWork
314,Data Science & Analytics,AI & ML,Hourly,4/23/2025,,44.5,<30,<1,UpWork
315,Data Science & Analytics,Web Development,Hourly,4/23/2025,,17.5,>30,>6,UpWork
316,Data Science & Analytics,Data Science,Hourly,4/23/2025,,27.5,,2,UpWork
317,Data Science & Analytics,General IT Support,Fixed price,4/23/2025,100,,,,UpWork
318,Data Science & Analytics,Data Science,Hourly,4/23/2025,,17.5,<30,<1,UpWork
319,Data Science & Analytics,Data Science,Hourly,4/23/2025,,,,2,UpWork
320,Data Science & Analytics,AI & ML,Hourly,4/23/2025,,,,<1,UpWork
321,Data Science & Analytics,AI & ML,Fixed price,4/23/2025,75,,,,UpWork
322,Data Science & Analytics,AI & ML,Hourly,4/23/2025,,27.5,,2,UpWork
323,Data Science & Analytics,AI & ML,Hourly,4/23/2025,,,<30,<1,UpWork
